Source title,Publisher
Exposure and Health,Springer Nature
Journal of Neuroinflammation,Springer Nature
Mucosal Immunology,Elsevier
Translational Research,Elsevier
ACM Transactions on Graphics,Association for Computing Machinery
ACS Sensors,American Chemical Society
Advances in Applied Energy,Elsevier
British Journal of Anaesthesia,Elsevier
Cell Chemical Biology,Elsevier
Cell Reports,Elsevier
Clinical Gastroenterology and Hepatology,Elsevier
Earth System Science Data,Copernicus
Ecological Monographs,Wiley-Blackwell
Energy,Elsevier
Environmental Pollution,Elsevier
Food Chemistry,Elsevier
Journal of Innovation and Knowledge,Elsevier
Journal of Travel and Tourism Marketing,Taylor & Francis
Laser and Photonics Reviews,Wiley-Blackwell
ACM Transactions on Intelligent Systems and Technology,Association for Computing Machinery
Advanced Optical Materials,Wiley-Blackwell
Alimentary Pharmacology and Therapeutics,Wiley-Blackwell
Biomaterials Research,Springer Nature
Information Processing and Management,Elsevier
International Journal of Infectious Diseases,Elsevier
Seminars in Immunology,Elsevier
Trends in Cardiovascular Medicine,Elsevier
Alzheimer's and Dementia,Wiley-Blackwell
Annual Review of Chemical and Biomolecular Engineering,Annual Reviews Inc.
"Arteriosclerosis, Thrombosis, and Vascular Biology",Wolters Kluwer Health
Drug Discovery Today,Elsevier
Energy Economics,Elsevier
IEEE Transactions on Information Forensics and Security,IEEE
Journal of Industrial Integration and Management,World Scientific
npj Quantum Information,Springer Nature
Surveys in Geophysics,Springer Nature
"Transportation Research, Part E: Logistics and Transportation Review",Elsevier
Wiley Interdisciplinary Reviews: Developmental Biology,Wiley-Blackwell
Current Opinion in Food Science,Elsevier
ES Materials and Manufacturing,Engineered Science Publisher
Genome Research,Cold Spring Harbor Laboratory Press
"Journal of Microbiology, Immunology and Infection",Elsevier
Neuroscientist,SAGE
Progress in Human Geography,SAGE
Research Synthesis Methods,Wiley-Blackwell
Satellite Navigation,Springer Nature
Sensors and Actuators B: Chemical,Elsevier
The Lancet Regional Health - Europe,Elsevier
Wiley Interdisciplinary Reviews: Water,Wiley-Blackwell
Antioxidants and Redox Signaling,Mary Ann Liebert
Astrophysical Journal Letters,American Astronomical Society
Educational Psychology Review,Springer Nature
International Journal of Biological Macromolecules,Elsevier
Neural Networks,Elsevier
Progress in Solid State Chemistry,Elsevier
Gut Microbes,Taylor & Francis
Human Behavior and Emerging Technologies,Wiley-Blackwell
International Journal of Plasticity,Elsevier
JACC: Basic to Translational Science,Elsevier
JCI insight,The American Society for Clinical Investigation
Landscape and Urban Planning,Elsevier
Reviews in Chemical Engineering,Walter de Gruyter
"Trauma, Violence, and Abuse",SAGE
American Journal of Obstetrics and Gynecology,Elsevier
Applied Soft Computing Journal,Elsevier
Cell Death and Disease,Springer Nature
Journal of Clinical Microbiology,American Society for Microbiology
Soil Biology and Biochemistry,Elsevier
Thorax,BMJ Publishing Group
Water Research X,Elsevier
Annual Review of Nutrition,Annual Reviews Inc.
BMC Medicine,Springer Nature
Communication Methods and Measures,Taylor & Francis
European Journal of Nuclear Medicine and Molecular Imaging,Springer Nature
Globalization and Health,Springer Nature
International Journal of Mental Health and Addiction,Springer Nature
Internet of Things (Netherlands),Elsevier
Journal of Anxiety Disorders,Elsevier
New Astronomy Reviews,Elsevier
American Psychologist,American Psychological Association
Archives of Computational Methods in Engineering,Springer Nature
British Journal of Cancer,Springer Nature
Current Opinion in Environmental Sustainability,Elsevier
IEEE Transactions on Power Electronics,IEEE
Journal of Integrative Plant Biology,Wiley-Blackwell
Journal of Product Innovation Management,Wiley-Blackwell
Materials Research Letters,Taylor & Francis
Phytochemistry Reviews,Springer Nature
Science China Chemistry,Science Press
Annual Review of Statistics and Its Application,Annual Reviews Inc.
Artificial Intelligence in Medicine,Elsevier
Current Opinion in Colloid and Interface Science,Elsevier
Free Radical Biology and Medicine,Elsevier
Frontiers in Neuroendocrinology,Elsevier
GLIA,Wiley-Blackwell
Infectious Diseases of Poverty,Springer Nature
International Journal of Biological Sciences,Ivyspring International Publisher
International Journal of Nanomedicine,Dove Medical Press
Journal of Applied Psychology,American Psychological Association
Journal of Nanostructure in Chemistry,Springer Nature
Neuropsychopharmacology,Springer Nature
"Plant, Cell and Environment",Wiley-Blackwell
Policy and Society,Oxford University Press
SIAM Review,Society for Industrial and Applied Mathematics
Systematic Biology,Oxford University Press
Foundations and Trends in Signal Processing,Now Publishers Inc
Gastric Cancer,Springer Nature
Hypertension,Wolters Kluwer Health
International Journal of Management Reviews,Wiley-Blackwell
Journal of Crohn's and Colitis,Oxford University Press
Limnology And Oceanography Letters,Wiley-Blackwell
Pattern Recognition,Elsevier
Breast Cancer Research,Springer Nature
British Journal of Educational Technology,Wiley-Blackwell
Business and Society,SAGE
Cell Proliferation,Wiley-Blackwell
Industrial Marketing Management,Elsevier
International Journal of Epidemiology,Oxford University Press
JAMA Dermatology,American Medical Association
Omega,Elsevier
Review of Financial Studies,Oxford University Press
Seminars in Cell and Developmental Biology,Elsevier
Veterinary Quarterly,Taylor & Francis
Current Issues in Tourism,Taylor & Francis
GigaScience,Oxford University Press
Information Processing in Agriculture,Elsevier
Movement Disorders,Wiley-Blackwell
Nano Research,Tsinghua University Press
Review of Corporate Finance Studies,Oxford University Press
ACS Materials Letters,American Chemical Society
Aging and Disease,International Society on Aging and Disease
Annals of Intensive Care,Springer Nature
Computers and Electronics in Agriculture,Elsevier
IEEE Transactions on Communications,IEEE
IEEE Transactions on Vehicular Technology,IEEE
International Journal of Contemporary Hospitality Management,Emerald Publishing
Investigative Radiology,Wolters Kluwer Health
Journal of Business Logistics,Wiley-Blackwell
Monographs of the Society for Research in Child Development,Wiley-Blackwell
Nanoscale,Royal Society of Chemistry
One Earth,Elsevier
Psychological Medicine,Cambridge University Press
Work and Stress,Taylor & Francis
Critical Reviews in Biochemistry and Molecular Biology,Taylor & Francis
Environment and Behavior,SAGE
Green Energy and Environment,KeAi Communications Co.
Journal of Consumer Research,Oxford University Press
Journal of Knowledge Management,Emerald Publishing
Materials and Design,Elsevier
Molecular Biology and Evolution,Oxford University Press
Particle and Fibre Toxicology,Springer Nature
Blood Cancer Journal,Springer Nature
Communication Research,SAGE
Current Psychiatry Reports,Springer Nature
Dialogues in Clinical Neuroscience,Taylor & Francis
Engineering with Computers,Springer Nature
Information Sciences,Elsevier
Journal of Child Psychology and Psychiatry and Allied Disciplines,Wiley-Blackwell
Journal of Dental Research,SAGE
Journal of Destination Marketing and Management,Elsevier
Journal of Environmental Management,Elsevier
Journal of Photochemistry and Photobiology B: Biology,Elsevier
Neuroscience and Biobehavioral Reviews,Elsevier
Photoacoustics,Elsevier
Psychiatry Research,Elsevier
Research,American Association for the Advancement of Science
Trends in Parasitology,Elsevier
Annual Review of Criminology,Annual Reviews Inc.
BioScience,Oxford University Press
Chemosphere,Elsevier
Comprehensive Physiology,Wiley-Blackwell
Current Opinion in Environmental Science and Health,Elsevier
eScience,Elsevier
European Journal of Teacher Education,Taylor & Francis
Haematologica,Ferrata Storti Foundation
Journal of Cell Biology,Rockefeller University Press
Microbes and Infection,Elsevier
Science and Technology of Advanced Materials,Taylor & Francis
Current Opinion in Green and Sustainable Chemistry,Elsevier
Environmental Science: Nano,Royal Society of Chemistry
Journal of Purchasing and Supply Management,Elsevier
Nano Research Energy,Tsinghua University Press
Nanobiomedicine,SAGE
Reports in Mechanical Engineering,Regional Association for Security and crisis management
Review of Research in Education,SAGE
Sustainable Materials and Technologies,Elsevier
Thrombosis Research,Elsevier
Alkaloids: Chemistry and Biology,Elsevier
Cognitive Systems Research,Elsevier
Critical Reviews in Microbiology,Taylor & Francis
Environmental Innovation and Societal Transitions,Elsevier
European urology oncology,Elsevier
Human-centric Computing and Information Sciences,Korea Information Processing Society
IEEE Transactions on Mobile Computing,IEEE
IEEE Transactions on Multimedia,IEEE
Journal of Communications and Networks,Korean Institute of Communications Information Sciences
Liver International,Wiley-Blackwell
Review of Asset Pricing Studies,Oxford University Press
Review of Environmental Economics and Policy,University of Chicago Press
Separation and Purification Reviews,Taylor & Francis
Solar Energy,Elsevier
Stem cells translational medicine,Oxford University Press
Advanced Materials Technologies,Wiley-Blackwell
Australasian Marketing Journal,SAGE
Cold Spring Harbor Perspectives in Medicine,Cold Spring Harbor Laboratory Press
Food Reviews International,Taylor & Francis
International Journal of Rock Mechanics and Minings Sciences,Elsevier
"Journal of Cachexia, Sarcopenia and Muscle",Wiley-Blackwell
Journal of Industrial Ecology,Wiley-Blackwell
Med,Elsevier
Modern Pathology,Springer Nature
Pulmonology,Elsevier
Reviews in Endocrine and Metabolic Disorders,Springer Nature
Advances in Physics: X,Taylor & Francis
"Astrophysical Journal, Supplement Series",American Astronomical Society
Brain Stimulation,Elsevier
Clinical Nutrition,Elsevier
Food Packaging and Shelf Life,Elsevier
Geoderma,Elsevier
Journal of Nuclear Medicine,Society of Nuclear Medicine and Molecular Imaging
Journal of World Business,Elsevier
Molecular Ecology Resources,Wiley-Blackwell
Stroke,American Heart Association
American Economic Journal: Applied Economics,American Economic Association
Biochar,Springer Nature
Biotechnology Reports,Elsevier
Cellular and Molecular Life Sciences,Springer Nature
Current Directions in Psychological Science,SAGE
Current Opinion in Structural Biology,Elsevier
Electrochimica Acta,Elsevier
European Respiratory Review,European Respiratory Society
International Journal of Engineering Science,Elsevier
Journal of Advances in Modeling Earth Systems,Wiley-Blackwell
Journal of Environmental Sciences,IOS Press
Journal of Vocational Behavior,Elsevier
Molecular and Cellular Proteomics,Elsevier
Production Planning and Control,Taylor & Francis
Science China Life Sciences,Science Press
Small Business Economics,Springer Nature
Tourism Management Perspectives,Elsevier
Tourism Review,Emerald Publishing
Transportation Research Part B: Methodological,Elsevier
ACS Photonics,American Chemical Society
Applied Surface Science,Elsevier
Biological Research,Springer Nature
Cell Reports Medicine,Elsevier
Health systems in transition,"Regional Office for Europe, World Health Organization"
IEEE Transactions on Robotics,IEEE
International Journal of Project Management,Elsevier
International Journal of Systems Science: Operations and Logistics,Taylor & Francis
Journal of Catalysis,Elsevier
Journal of Environmental Informatics,International Society for Environmental Information Sciences
Journal of Materiomics,Chinese Ceramic Society
Plant Communications,Elsevier
Separation and Purification Technology,Elsevier
Soil and Tillage Research,Elsevier
Solar Energy Materials and Solar Cells,Elsevier
Academy of Management Perspectives,Academy of Management
Alcohol research : current reviews,National Institute on Alcohol Abuse and Alcoholism (NIAAA)
Biomedicine and Pharmacotherapy,Elsevier
Computer Assisted Language Learning,Taylor & Francis
Critical Care Medicine,Wolters Kluwer Health
Depression and Anxiety,Hindawi
Expert Systems with Applications,Elsevier
IEEE Transactions on Cognitive Communications and Networking,IEEE
International Journal of Behavioral Nutrition and Physical Activity,Springer Nature
Journal of Gastroenterology,Springer Nature
Journal of Innate Immunity,Karger
Journal of Research in Interactive Marketing,Emerald Publishing
Journal of Telemedicine and Telecare,SAGE
Meat Science,Elsevier
Methods in Ecology and Evolution,Wiley-Blackwell
Molecular Metabolism,Elsevier
Nutrition Research Reviews,Cambridge University Press
Psychological Methods,American Psychological Association
Reliability Engineering and System Safety,Elsevier
Ultrasound in Obstetrics and Gynecology,Wiley-Blackwell
Advanced Fiber Materials,Springer Nature
Cell Stress,Shared Science Publishers OG
Contemporary Educational Psychology,Elsevier
Current Opinion in Immunology,Elsevier
Decision Support Systems,Elsevier
Ecosystem Services,Elsevier
Environmental Science and Ecotechnology,Elsevier
Fuel Processing Technology,Elsevier
IEEE Transactions on Services Computing,IEEE
Implementation Science,Springer Nature
Materials Today Energy,Elsevier
npj 2D Materials and Applications,Springer Nature
npj Flexible Electronics,Springer Nature
OncoImmunology,Taylor & Francis
Pain,Wolters Kluwer Health
Science Signaling,American Association for the Advancement of Science
Sustainable Production and Consumption,Elsevier
Applied Materials Today,Elsevier
BioDrugs,Springer Nature
Clinical Immunology,Elsevier
Computerized Medical Imaging and Graphics,Elsevier
Construction and Building Materials,Elsevier
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,
Energy and Built Environment,KeAi Communications Co.
IEEE Transactions on Knowledge and Data Engineering,IEEE
JHEP Reports,Elsevier
Journal of Cheminformatics,Chemistry Central
Journal of Organizational Behavior,Wiley-Blackwell
Neurology,Wolters Kluwer Health
Neurology: Neuroimmunology and NeuroInflammation,Wolters Kluwer Health
Plant Physiology,American Society of Plant Biologists
Radiology: Artificial Intelligence,Radiological Society of North America Inc.
Safety Science,Elsevier
Structural Health Monitoring,SAGE
"Transportation Research, Part A: Policy and Practice",Elsevier
Vehicular Communications,Elsevier
World Journal of Emergency Surgery,Springer Nature
Analytical Chemistry,American Chemical Society
