Rank,Title,Best Quartile,Publisher,Core Collection
2154,ZDM - International Journal on Mathematics Education,Q1,,
2155,Habitat International,Q1,Pergamon-Elsevier Science Ltd,Social Sciences Citation Index
2156,Computerized Medical Imaging and Graphics,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2157,"Forum of Mathematics, Sigma",Q1,,
2158,Journal of Air Transport Management,Q1,Elsevier Sci Ltd,Social Sciences Citation Index
2159,Health Psychology,Q1,Amer Psychological Assoc,Science Citation Index Expanded | Social Sciences Citation Index
2160,Journal of Accounting Literature,Q1,Emerald Group Publishing Ltd,Emerging Sources Citation Index
2161,International Journal of Social Research Methodology: Theory and Practice,Q1,,
2162,Allergology International,Q1,Japanese Soc Allergology,Science Citation Index Expanded
2163,Family Process,Q1,Wiley,Social Sciences Citation Index
2164,Journal of Economics and Management Strategy,Q1,,
2165,Journal of Endodontics,Q1,Elsevier Science Inc,Science Citation Index Expanded
2166,British Journal of Educational Psychology,Q1,Wiley,Social Sciences Citation Index
2167,Child and Adolescent Psychiatry and Mental Health,Q1,Bmc,Science Citation Index Expanded | Social Sciences Citation Index
2168,Molecular Plant Pathology,Q1,Wiley,Science Citation Index Expanded
2169,Journal of General Physiology,Q1,Rockefeller Univ Press,Science Citation Index Expanded
2170,Drug Discovery Today,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2171,Journal of Immunotherapy,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2172,Men and Masculinities,Q1,Sage Publications Inc,Social Sciences Citation Index
2173,"Psychology of Aesthetics, Creativity, and the Arts",Q1,,
2174,IEEE Transactions on Instrumentation and Measurement,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2175,Journal of Orthopaedic and Sports Physical Therapy,Q1,,
2176,Ecological Indicators,Q1,Elsevier,Science Citation Index Expanded
2177,Field Crops Research,Q1,Elsevier,Science Citation Index Expanded
2178,Mass Spectrometry Reviews,Q1,Wiley,Science Citation Index Expanded | Scopus
2179,NeuroImage: Clinical,Q1,,
2180,Organic Geochemistry,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2181,Computer Communications,Q1,Elsevier,Science Citation Index Expanded
2182,Career Development and Transition for Exceptional Individuals,Q1,Sage Publications Inc,Social Sciences Citation Index
2183,Borderline Personality Disorder and Emotion Dysregulation,Q1,Bmc,Science Citation Index Expanded
2184,Medical Clinics of North America,Q1,W B Saunders Co-Elsevier Inc,Science Citation Index Expanded
2185,Society and Mental Health,Q1,Sage Publications Inc,Social Sciences Citation Index
2186,Fuel Processing Technology,Q1,Elsevier,Science Citation Index Expanded | Scopus
2187,Advanced Sustainable Systems,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
2188,"Chaos, Solitons and Fractals",Q1,,
2189,Journal of Environmental Sciences,Q1,Science Press,Science Citation Index Expanded
2190,AIDS and Behavior,Q1,Springer/Plenum Publishers,Social Sciences Citation Index
2191,Forensic Science International: Genetics,Q1,,
2192,Psychoneuroendocrinology,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2193,Environmental Microbiology,Q1,Wiley,Science Citation Index Expanded
2194,Atmospheric Measurement Techniques,Q1,Copernicus Gesellschaft Mbh,Science Citation Index Expanded
2195,Frontiers in Cardiovascular Medicine,Q1,Frontiers Media Sa,Science Citation Index Expanded
2196,Communications in Contemporary Mathematics,Q1,World Scientific Publ Co Pte Ltd,Science Citation Index Expanded
2197,Stem cells translational medicine,Q1,Oxford Univ Press,Science Citation Index Expanded
2198,PharmacoEconomics,Q1,Adis Int Ltd,Science Citation Index Expanded | Social Sciences Citation Index
2199,Chinese Chemical Letters,Q1,Elsevier Science Inc,Science Citation Index Expanded
2200,Psychiatry and Clinical Neurosciences,Q1,Wiley,Science Citation Index Expanded
2201,Seminars in Radiation Oncology,Q1,W B Saunders Co-Elsevier Inc,Science Citation Index Expanded
2202,npj Systems Biology and Applications,Q1,Nature Portfolio,Science Citation Index Expanded
2203,Critical Reviews in Microbiology,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
2204,International Journal of Industrial Organization,Q1,Elsevier,Social Sciences Citation Index
2205,Work and Occupations,Q1,Sage Publications Inc,Social Sciences Citation Index
2206,Race Ethnicity and Education,Q1,Routledge Journals,Social Sciences Citation Index
2207,Composites Communications,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2208,Current Diabetes Reports,Q1,Current Medicine Group,Science Citation Index Expanded
2209,Control Engineering Practice,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2210,Epijournal de Geometrie Algebrique,Q1,Centre Communication Scientifique Directe-Ccsd,Emerging Sources Citation Index
2211,FASEB Journal,Q1,Wiley,Science Citation Index Expanded
2212,Cancer Gene Therapy,Q1,Springernature,Science Citation Index Expanded
2213,Journal of Toxicology and Environmental Health - Part B: Critical Reviews,Q1,,
2214,Cliometrica,Q1,Springer Heidelberg,Social Sciences Citation Index | Arts & Humanities Citation Index
2215,Advances in Climate Change Research,Q1,Keai Publishing Ltd,Science Citation Index Expanded
2216,IMA Journal of Numerical Analysis,Q1,Oxford Univ Press,Science Citation Index Expanded
2217,Infectious Disease Modelling,Q1,Keai Publishing Ltd,Emerging Sources Citation Index
2218,American Journal of Physiology - Gastrointestinal and Liver Physiology,Q1,,
2219,International Immunology,Q1,Oxford Univ Press,Science Citation Index Expanded
2220,Clinical Implant Dentistry and Related Research,Q1,Wiley,Science Citation Index Expanded
2221,Journal of Antimicrobial Chemotherapy,Q1,Oxford Univ Press,Science Citation Index Expanded
2222,CNS Neuroscience and Therapeutics,Q1,,
2223,Boundary-Layer Meteorology,Q1,Springer,Science Citation Index Expanded
2224,Fuel,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2225,Experimental Neurology,Q1,Academic Press Inc Elsevier Science,Science Citation Index Expanded
2226,Journal of Neurodevelopmental Disorders,Q1,Bmc,Science Citation Index Expanded
2227,Mechanisms of Ageing and Development,Q1,Elsevier Ireland Ltd,Science Citation Index Expanded
2228,Chemical Record,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
2229,School Leadership and Management,Q1,,
2230,Journal of Magnetic Resonance Imaging,Q1,Wiley,Science Citation Index Expanded
2231,Advances in Microbial Physiology,Q1,,
2232,Journal of Sound and Vibration,Q1,Academic Press Ltd- Elsevier Science Ltd,Science Citation Index Expanded
2233,Friction,Q1,Springer,Science Citation Index Expanded
2234,IEEE Journal of Oceanic Engineering,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2235,Sustainable Energy Technologies and Assessments,Q1,Elsevier,Science Citation Index Expanded
2236,Agricultural Economics (United Kingdom),Q1,,
2237,Journal of Information Technology,Q1,Sage Publications Ltd,Science Citation Index Expanded | Social Sciences Citation Index
2238,Educational Policy,Q1,Sage Publications Inc,Social Sciences Citation Index
2239,Atherosclerosis,Q1,Elsevier Ireland Ltd,Science Citation Index Expanded
2240,Journal of Hydrometeorology,Q1,Amer Meteorological Soc,Science Citation Index Expanded
2241,Evolutionary Applications,Q1,Wiley,Science Citation Index Expanded
2242,Genome Biology and Evolution,Q1,Oxford Univ Press,Science Citation Index Expanded
2243,Solar Energy,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2244,Meat Science,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2245,Journal of Counseling Psychology,Q1,Amer Psychological Assoc,Social Sciences Citation Index
2246,Journal of Personal Selling and Sales Management,Q1,,
2247,Transplantation,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2248,Journal of Biogeography,Q1,Wiley,Science Citation Index Expanded
2249,Clinical Colorectal Cancer,Q1,Cig Media Group,Science Citation Index Expanded
2250,Medical Journal of Australia,Q1,Wiley,Science Citation Index Expanded
2251,Plant and Cell Physiology,Q1,Oxford Univ Press,Science Citation Index Expanded
2252,International Journal of Heat and Mass Transfer,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2253,Journal of Learning Analytics,Q1,Soc Learning Analytics Research-Solar,Emerging Sources Citation Index
2254,ACS Chemical Biology,Q1,Amer Chemical Soc,Science Citation Index Expanded
2255,Immune Network,Q1,Korea Assoc Immunologists,Science Citation Index Expanded
2256,Journal of Cancer Survivorship,Q1,Springer,Science Citation Index Expanded | Social Sciences Citation Index
2257,Global Health Research and Policy,Q1,Bmc,Emerging Sources Citation Index
2258,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,Q1,,
2259,Influenza and other Respiratory Viruses,Q1,Wiley,Science Citation Index Expanded
2260,Learning and Individual Differences,Q1,Elsevier,Social Sciences Citation Index
2261,Antimicrobial Resistance and Infection Control,Q1,Bmc,Science Citation Index Expanded
2262,Biomedicine and Pharmacotherapy,Q1,, | Scopus
2263,Remote Sensing in Ecology and Conservation,Q1,Wiley,Science Citation Index Expanded
2264,Gene Therapy,Q1,Springernature,Science Citation Index Expanded
2265,Anesthesia and Analgesia,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2266,RNA Biology,Q2,Taylor & Francis Inc,Science Citation Index Expanded
2267,Journal of Pain,Q1,Churchill Livingstone,Science Citation Index Expanded
2268,Geomechanics for Energy and the Environment,Q1,Elsevier,Science Citation Index Expanded
2269,Environmental Impact Assessment Review,Q1,Elsevier Science Inc,Social Sciences Citation Index
2270,Genes Chromosomes and Cancer,Q1,,
2271,Journal of Structural Engineering,Q1,Asce-Amer Soc Civil Engineers,Science Citation Index Expanded
2272,Food Research International,Q1,Elsevier,Science Citation Index Expanded
2273,Wiley Interdisciplinary Reviews: Computational Statistics,Q1,,
2274,Aggression and Violent Behavior,Q1,Pergamon-Elsevier Science Ltd,Social Sciences Citation Index
2275,Earth Surface Dynamics,Q1,Copernicus Gesellschaft Mbh,Science Citation Index Expanded
2276,Commentarii Mathematici Helvetici,Q1,European Mathematical Soc-Ems,Science Citation Index Expanded
2277,Politics and Gender,Q1,,
2278,Clinical and Translational Gastroenterology,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2279,Wuli Huaxue Xuebao/ Acta Physico - Chimica Sinica,Q1,,
2280,Journal of Chemical Information and Modeling,Q1,Amer Chemical Soc,Science Citation Index Expanded
2281,Journal of Physics G: Nuclear and Particle Physics,Q1,,
2282,Journal of Hospitality and Tourism Research,Q1,,
2283,Methods,Q1,Academic Press Inc Elsevier Science,Science Citation Index Expanded
2284,International Journal of Methods in Psychiatric Research,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index
2285,Weather and Forecasting,Q1,Amer Meteorological Soc,Science Citation Index Expanded
2286,European Urban and Regional Studies,Q1,Sage Publications Ltd,Social Sciences Citation Index
2287,Journal of Research in Personality,Q1,Academic Press Inc Elsevier Science,Social Sciences Citation Index
2288,Advances in Life Course Research,Q1,Elsevier Sci Ltd,Social Sciences Citation Index
2289,European Archives of Psychiatry and Clinical Neuroscience,Q1,Springer Heidelberg,Science Citation Index Expanded
2290,BioEssays,Q1,Wiley,Science Citation Index Expanded
2291,Political Geography,Q1,Elsevier Sci Ltd,Social Sciences Citation Index
2292,Journal of Risk Research,Q1,Routledge Journals,Social Sciences Citation Index
2293,IEEE Transactions on Emerging Topics in Computing,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2294,Clinical Science,Q1,Portland Press Ltd,Science Citation Index Expanded
2295,Health Research Policy and Systems,Q1,Bmc,Social Sciences Citation Index
2296,Plastic and Reconstructive Surgery,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2297,Behavior Therapy,Q1,Elsevier Inc,Social Sciences Citation Index
2298,Transportation Research Part F: Traffic Psychology and Behaviour,Q1,,
2299,Journal of Research on Technology in Education,Q1,Routledge Journals,Social Sciences Citation Index
2300,Psychology of Sport and Exercise,Q1,Elsevier,Science Citation Index Expanded | Social Sciences Citation Index
2301,IEEE Transactions on Computational Social Systems,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2302,Geoforum,Q1,Pergamon-Elsevier Science Ltd,Social Sciences Citation Index
2303,Xenotransplantation,Q1,Wiley,Science Citation Index Expanded
2304,Ultrasonics Sonochemistry,Q1,Elsevier,Science Citation Index Expanded | Scopus
2305,Solid Earth,Q1,Copernicus Gesellschaft Mbh,Science Citation Index Expanded
2306,Journal of Nonlinear Science,Q1,Springer,Science Citation Index Expanded
2307,Environmental Modelling and Software,Q1,,
2308,JCO Oncology Practice,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2309,Finance and Stochastics,Q1,Springer Heidelberg,Science Citation Index Expanded | Social Sciences Citation Index
2310,Journal of Manufacturing Processes,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2311,Journal of Computing in Civil Engineering,Q1,Asce-Amer Soc Civil Engineers,Science Citation Index Expanded
2312,Corporate Governance (Bingley),Q1,,
2313,Magnetic Resonance in Medicine,Q1,Wiley,Science Citation Index Expanded
2314,IEEE/ACM Transactions on Audio Speech and Language Processing,Q1,,
2315,Biometrics,Q1,Wiley,Science Citation Index Expanded
2316,Tribology International,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2317,Ecotoxicology and Environmental Safety,Q1,Academic Press Inc Elsevier Science,Science Citation Index Expanded
2318,Psychology and Aging,Q1,Amer Psychological Assoc,Social Sciences Citation Index
2319,Journalism and Mass Communication Quarterly,Q1,,
2320,Stanford Law Review,Q1,Stanford Univ,Social Sciences Citation Index
2321,Korean Journal of Radiology,Q1,Korean Society Of Radiology,Science Citation Index Expanded
2322,Otolaryngology - Head and Neck Surgery,Q1,,
2323,Atmospheric Environment,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2324,Geophysical Journal International,Q1,Oxford Univ Press,Science Citation Index Expanded
2325,Cladistics,Q1,Wiley,Science Citation Index Expanded
2326,"Nonlinear Analysis, Theory, Methods and Applications",Q1,,
2327,Expert Review of Vaccines,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
2328,Management Decision,Q1,Emerald Group Publishing Ltd,Social Sciences Citation Index
2329,Psychophysiology,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index
2330,"Journal of Law, Economics, and Organization",Q1,,
2331,Endocrinology,Q1,Endocrine Soc,Science Citation Index Expanded
2332,Chemical Communications,Q1,Royal Soc Chemistry,Science Citation Index Expanded
2333,Neural Development,Q1,Bmc,Science Citation Index Expanded
2334,Frontiers of Environmental Science and Engineering,Q1,,
2335,BMJ Evidence-Based Medicine,Q1,Bmj Publishing Group,Science Citation Index Expanded
2336,Journal of the Royal Society of Medicine,Q1,Sage Publications Ltd,Science Citation Index Expanded
2337,Competition and Change,Q1,,
2338,Pediatric Diabetes,Q1,Wiley-Hindawi,Science Citation Index Expanded
2339,Contemporary Physics,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
2340,Information Technology and Tourism,Q1,,
2341,Journal of Nursing Management,Q1,Wiley-Hindawi,Science Citation Index Expanded | Social Sciences Citation Index
2342,Cancer Research and Treatment,Q1,Korean Cancer Association,Science Citation Index Expanded
2343,European Journal of Vascular and Endovascular Surgery,Q1,W B Saunders Co Ltd,Science Citation Index Expanded
2344,Therapeutic Advances in Infectious Disease,Q1,Sage Publications Ltd,Emerging Sources Citation Index
2345,Journal of Proteome Research,Q1,Amer Chemical Soc,Science Citation Index Expanded
2346,GIScience and Remote Sensing,Q1,,
2347,Paediatric Respiratory Reviews,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2348,Inflammation Research,Q1,Springer Basel Ag,Science Citation Index Expanded
2349,Separation and Purification Technology,Q1,Elsevier,Science Citation Index Expanded | Scopus
2350,Molecular Therapy - Oncolytics,Q1,,
2351,Stem Cells,Q1,Oxford Univ Press,Science Citation Index Expanded
2352,Journal of Computing in Higher Education,Q1,Springer,Social Sciences Citation Index
2353,Process Safety and Environmental Protection,Q1,Elsevier,Science Citation Index Expanded
2354,Food Packaging and Shelf Life,Q1,Elsevier,Science Citation Index Expanded | Scopus
2355,Journal of Human Evolution,Q1,Academic Press Ltd- Elsevier Science Ltd,Science Citation Index Expanded | Social Sciences Citation Index
2356,IEEE Transactions on Aerospace and Electronic Systems,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2357,Journal for Research in Mathematics Education,Q1,Natl Council Teachers Mathematics-Nctm,Social Sciences Citation Index
2358,"Anxiety, Stress and Coping",Q1,,
2359,International Journal of Stress Management,Q1,Educational Publishing Foundation-American Psychological Assoc,Social Sciences Citation Index
2360,Climatic Change,Q1,Springer,Science Citation Index Expanded
2361,Rice,Q1,Springer,Science Citation Index Expanded
2362,American Politics Research,Q1,Sage Publications Inc,Social Sciences Citation Index
2363,Respiratory Medicine,Q1,W B Saunders Co Ltd,Science Citation Index Expanded
2364,International Journal of Sports Physiology and Performance,Q1,Human Kinetics Publ Inc,Science Citation Index Expanded
2365,Canadian Journal of Agricultural Economics,Q1,, | Scopus
2366,Mass Communication and Society,Q1,Routledge Journals,Social Sciences Citation Index
2367,Kidney International Supplements,Q1,Elsevier Science Inc,Science Citation Index Expanded
2368,Catalan Journal of Linguistics,Q1,Univ Autonoma Barcelona,Emerging Sources Citation Index
2369,Scandinavian Journal of Medicine and Science in Sports,Q1,,
2370,European Review of Economic History,Q1,Oxford Univ Press,Social Sciences Citation Index
2371,Inorganic Chemistry Frontiers,Q1,Royal Soc Chemistry,Science Citation Index Expanded
2372,Behavioral Medicine,Q1,Routledge Journals,Science Citation Index Expanded | Social Sciences Citation Index
2373,Biochemical Pharmacology,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2374,Basin Research,Q1,Wiley,Science Citation Index Expanded
2375,Sports Health,Q1,,
2376,Addictive Behaviors,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded | Social Sciences Citation Index
2377,China Communications,Q1,China Inst Communications,Science Citation Index Expanded
2378,Contemporary Security Policy,Q1,Routledge Journals,Social Sciences Citation Index
2379,Bone Marrow Transplantation,Q1,Springernature,Science Citation Index Expanded
2380,European Journal of Cell Biology,Q1,Elsevier Gmbh,Science Citation Index Expanded
2381,Rare Metals,Q1,Nonferrous Metals Soc China,Science Citation Index Expanded
2382,Ocean Engineering,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2383,Asian Journal of Psychiatry,Q1,Elsevier,Science Citation Index Expanded
2384,Journal of Applied Crystallography,Q1,Int Union Crystallography,Science Citation Index Expanded
2385,Molecular Neurobiology,Q1,Springer,Science Citation Index Expanded
2386,EFORT Open Reviews,Q1,Bioscientifica Ltd,Science Citation Index Expanded
2387,Journal of Parkinson's Disease,Q1,,
2388,Journal of Science and Medicine in Sport,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2389,Entomologia Generalis,Q1,E Schweizerbartsche Verlagsbuchhandlung,Science Citation Index Expanded
2390,Oxidative Medicine and Cellular Longevity,Q1,Hindawi Ltd,Biological Abstracts | BIOSIS Previews
2391,Topics in Current Chemistry,Q1,Springer Int Publ Ag,Science Citation Index Expanded
2392,Autism Research,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index
2393,Industry and Innovation,Q1,Routledge Journals,Social Sciences Citation Index
2394,Journal of English for Academic Purposes,Q1,Elsevier,Social Sciences Citation Index | Arts & Humanities Citation Index
2395,Annals of Family Medicine,Q1,Annals Family Medicine,Science Citation Index Expanded
2396,"Journal of the American Academy of Orthopaedic Surgeons, The",Q1,,
2397,Structural Change and Economic Dynamics,Q1,Elsevier,Social Sciences Citation Index
2398,Computational Mechanics,Q1,Springer,Science Citation Index Expanded
2399,American Journal of Community Psychology,Q1,Wiley,Social Sciences Citation Index
2400,Research and Practice in Thrombosis and Haemostasis,Q1,Elsevier,Science Citation Index Expanded
2401,Geosynthetics International,Q1,Ice Publishing,Science Citation Index Expanded
2402,Journal of Constructional Steel Research,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2403,Current Rheumatology Reports,Q1,Springer,Science Citation Index Expanded
2404,International Journal of Hydrogen Energy,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2405,Climate and Development,Q1,Taylor & Francis Ltd,Social Sciences Citation Index
2406,Injury Prevention,Q1,Bmj Publishing Group,Science Citation Index Expanded | Social Sciences Citation Index
2407,IEEE Electron Device Letters,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2408,Journal of Rural Studies,Q1,Pergamon-Elsevier Science Ltd,Social Sciences Citation Index
2409,Development and Psychopathology,Q1,Cambridge Univ Press,Social Sciences Citation Index
2410,International Journal of Geographical Information Science,Q1,Taylor & Francis Ltd,Science Citation Index Expanded | Social Sciences Citation Index
2411,Advanced Materials Interfaces,Q1,Wiley,Science Citation Index Expanded
2412,Journal of Education for Teaching,Q1,Routledge Journals,Social Sciences Citation Index
2413,Current Opinion in Colloid and Interface Science,Q1,, | Scopus
2414,Lab on a Chip,Q1,Royal Soc Chemistry,Science Citation Index Expanded
2415,Sex Roles,Q1,Springer/Plenum Publishers,Social Sciences Citation Index
2416,Current Oncology Reports,Q1,Springer,Science Citation Index Expanded
2417,Environmental Health: A Global Access Science Source,Q1,,
2418,Computer Physics Communications,Q1,Elsevier,Science Citation Index Expanded
2419,Review of Managerial Science,Q1,Springer Heidelberg,Social Sciences Citation Index
2420,Gender and Education,Q1,Routledge Journals,Social Sciences Citation Index
2421,Cancers,Q1,Mdpi,Science Citation Index Expanded
2422,Journal of Molecular and Cellular Cardiology,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
2423,Journal of Cognitive Neuroscience,Q1,Mit Press,Science Citation Index Expanded | Social Sciences Citation Index
2424,Science and Education,Q1,,
2425,Journal of Pest Science,Q1,Springer Heidelberg,Science Citation Index Expanded
2426,"Language, Culture and Curriculum",Q1,,
2427,Journal of Neurotrauma,Q1,Mary Ann Liebert,Science Citation Index Expanded
2428,Energy Journal,Q1,Int Assoc Energy Economics,Science Citation Index Expanded | Social Sciences Citation Index
2429,eNeuro,Q1,Soc Neuroscience,Science Citation Index Expanded
2430,Tectonophysics,Q1,Elsevier,Science Citation Index Expanded
2431,Terra Nova,Q1,Wiley,Science Citation Index Expanded
2432,International Marketing Review,Q1,Emerald Group Publishing Ltd,Social Sciences Citation Index
2433,Journal of European Social Policy,Q1,Sage Publications Ltd,Social Sciences Citation Index
2434,Human Genomics,Q1,Bmc,Science Citation Index Expanded
2435,Journal of NeuroImmune Pharmacology,Q1,Springer,Science Citation Index Expanded
2436,Frontiers in Cellular and Infection Microbiology,Q1,Frontiers Media Sa,Science Citation Index Expanded
2437,Frontiers in Neural Circuits,Q1,Frontiers Media Sa,Science Citation Index Expanded
2438,Journal of International Money and Finance,Q1,Elsevier Sci Ltd,Social Sciences Citation Index
2439,Psychometrika,Q1,Springer,Science Citation Index Expanded | Social Sciences Citation Index
2440,Journal of Literacy Research,Q1,Sage Publications Inc,Social Sciences Citation Index
2441,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,Q2,,
2442,Neuropharmacology,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
2443,Electronic Commerce Research and Applications,Q1,Elsevier,Science Citation Index Expanded | Social Sciences Citation Index
2444,American Journal of Industrial Medicine,Q1,Wiley,Science Citation Index Expanded
2445,BMC Public Health,Q1,Bmc,Science Citation Index Expanded
2446,Journal of Pain and Symptom Management,Q1,Elsevier Science Inc,Science Citation Index Expanded
2447,Journal of Managerial Psychology,Q1,Emerald Group Publishing Ltd,Social Sciences Citation Index
2448,Neurorehabilitation and Neural Repair,Q1,Sage Publications Inc,Science Citation Index Expanded
2449,Exceptional Children,Q1,Sage Publications Inc,Social Sciences Citation Index
2450,Przeglad Gastroenterologiczny,Q1,,
2451,Physical Review C,Q1,Amer Physical Soc,Science Citation Index Expanded
2452,Governance,Q1,,
2453,Chinese Journal of Communication,Q1,Routledge Journals,Social Sciences Citation Index
2454,ERJ Open Research,Q1,European Respiratory Soc Journals Ltd,Science Citation Index Expanded
2455,Cortex,Q1,Elsevier Masson,Science Citation Index Expanded | Social Sciences Citation Index
2456,Economic Modelling,Q1,Elsevier,Social Sciences Citation Index
2457,Mobile Media and Communication,Q1,,
2458,Journal of Sleep Research,Q1,Wiley,Science Citation Index Expanded
2459,GPS Solutions,Q1,Springer Heidelberg,Science Citation Index Expanded
2460,Mathematics of Computation,Q1,Amer Mathematical Soc,Science Citation Index Expanded
2461,Pattern Recognition Letters,Q1,Elsevier,Science Citation Index Expanded
2462,Regional Anesthesia and Pain Medicine,Q1,Bmj Publishing Group,Science Citation Index Expanded
2463,Ad Hoc Networks,Q1,Elsevier,Science Citation Index Expanded
2464,American Journal of Roentgenology,Q1,Amer Roentgen Ray Soc,Science Citation Index Expanded
2465,Journal of Strength and Conditioning Research,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
2466,Statistical Methods in Medical Research,Q1,Sage Publications Ltd,Science Citation Index Expanded
2467,Youth Violence and Juvenile Justice,Q1,Sage Publications Inc,Social Sciences Citation Index
2468,European Journal of Clinical Investigation,Q1,Wiley,Science Citation Index Expanded
2469,Critical Reviews in Plant Sciences,Q1,Taylor & Francis Inc,Science Citation Index Expanded
2470,Environmental Sciences: Processes and Impacts,Q1,,
2471,PLoS Neglected Tropical Diseases,Q1,Public Library Science,Science Citation Index Expanded
2472,International Journal of Tourism Research,Q1,Wiley,Social Sciences Citation Index
2473,Human Resource Development International,Q1,Routledge Journals,Emerging Sources Citation Index
2474,International Journal of Antimicrobial Agents,Q1,Elsevier,Science Citation Index Expanded | Scopus
2475,Journal of Fluency Disorders,Q1,Elsevier Science Inc,Science Citation Index Expanded | Social Sciences Citation Index
2476,Diagnostic and interventional imaging,Q1,Elsevier Masson,Science Citation Index Expanded
2477,IEEE Transactions on Reliability,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2478,Policy and Politics,Q1,Policy Press,Social Sciences Citation Index
2479,Molecular and Cellular Neurosciences,Q2,,
2480,Biological Research,Q1,Soc Biolgia Chile,Science Citation Index Expanded
2481,Insect Systematics and Diversity,Q1,Oxford Univ Press Inc,Science Citation Index Expanded
2482,Journal of Cellular Physiology,Q1,Wiley,Science Citation Index Expanded | Scopus
2483,Respirology,Q1,Wiley,Science Citation Index Expanded
2484,World Journal of Oncology,Q1,Elmer Press Inc,Emerging Sources Citation Index
2485,Human Resource Development Quarterly,Q1,Wiley Periodicals,Social Sciences Citation Index
2486,Biogeochemistry,Q1,Springer,Science Citation Index Expanded
2487,Biology Letters,Q1,Royal Soc,Science Citation Index Expanded
2488,Cultural Diversity and Ethnic Minority Psychology,Q1,,
2489,Journal of Adolescence,Q1,Wiley,Social Sciences Citation Index
2490,IEEE Circuits and Systems Magazine,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2491,Clinical Autonomic Research,Q1,Springer Heidelberg,Science Citation Index Expanded
2492,Medical Care,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded | Social Sciences Citation Index
2493,Expert Opinion on Therapeutic Patents,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
2494,Nutrients,Q1,Mdpi,Science Citation Index Expanded
2495,Advanced Synthesis and Catalysis,Q1,,
2496,IEEE Transactions on Signal and Information Processing over Networks,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
2497,BMC Psychiatry,Q1,Bmc,Science Citation Index Expanded
2498,Global Public Health,Q1,Routledge Journals,Social Sciences Citation Index
2499,Expert Opinion on Investigational Drugs,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
2500,Current Addiction Reports,Q1,Springernature,Social Sciences Citation Index
2501,Second Language Research,Q1,Sage Publications Ltd,Social Sciences Citation Index
2502,Helicobacter,Q1,Wiley,Science Citation Index Expanded
