PrintISSN,EISSN,Title,Publisher
,27686566,JEADV Clinical Practice,Wiley-Blackwell
,26455390,Journal of Advanced Periodontology and Implant Dentistry,Tabriz University of Medical Sciences and Health Services
,27046494,Journal of Cancer Rehabilitation,Edisciences Publisher
,2251886X,Journal of Research on History of Medicine,Shiraz University of Medical Sciences
22969381,22969357,Kidney Diseases,Karger
,19472579,Online Journal of Public Health Informatics,JMIR Publications
,2666769X,Orthoplastic Surgery,Elsevier
18181295,26166194,Reports of Morphology,"National Pirogov Memorial Medical University, Vinnytsya"
,23623675,Revista Argentina de Reumatologia,Facundo Lugones
3255247,23469420,Revista de la Sociedad Argentina de Diabetes,Facundo Lugones
,27741079,Biomedical Sciences and Clinical Medicine,"Faculty of Medicine, Chiang Mai University"
18858619,21739218,Farmaceuticos Comunitarios,"Sociedad Española de Farmacia Clínica, Familiar y Comunitaria"
19843011,25952854,International Journal of Nutrology,ABRAN - Brazilian Association of Nutrology
25814753,25814761,IP International Journal of Medical Microbiology and Tropical Diseases,IP Innovative Publication Pvt. Ltd.
18125409,22182055,Bulletin of the Taras Shevchenko National University of Kyiv. Physics and Mathematics,Taras Shevchenko National University of Kyiv
,26738716,Dynamics,MDPI Multidisciplinary Digital Publishing Institute
,28047370,Hardy-Ramanujan Journal,Hardy-Ramanujan Society
,27724158,Journal of Computational Mathematics and Data Science,Elsevier
25202316,25202324,Mathematical Statistics and Learning,European Mathematical Society Publishing House
16155653,21976791,"Springer Series on Atomic, Optical, and Plasma Physics",Springer
,18543073,Acta Biologica Slovenica,"University in Ljubljana, Biotechnical Faculty"
,27206076,Animal Science and Genetics,Polish Society of Animal Production
5371996,2454552X,Indian Journal of Extension Education,"The Indian Society of Extension Education, New Delhi"
,2615367X,Indonesian Food Science and Technology Journal,Universitas Jambi
,25814877,International Journal of Advancement in Life Sciences Research,Dr Tarak Nath Podder Memorial Foundation
22517588,22517596,"International Journal of Agricultural Science, Research and Technology in Extension and Education Systems",Islamic Azad University
20086113,24234435,Iranian Journal of Forest,Iranian Society of Forestry
16745566,,Journal of Shanghai Ocean University,Editorial Office of Journal of Shanghai Ocean University
25121898,25121901,Microorganisms for Sustainability,Springer
,27834409,Seed and Plant Journal,Seed and Plant Improvement Institute
,26732726,Frontiers in Human Dynamics,Frontiers Media S.A.
,25040537,Frontiers in Research Metrics and Analytics,Frontiers Media S.A.
2325565X,23293764,International Journal for Research in Learning Disabilities,International Academy for Research in Learning Disabilities
,19434898,Journal of College Science Teaching,Informa:  Taylor & Francis
2588879X,25888803,Journal of Disability Studies in Education,Brill
,2562783X,Journal of Education Human Resources,University of Toronto Press
24707066,24707074,Journal of Islamic and Muslim Studies,Indiana University Press
,21586195,Journal of Learning Spaces,Journal of Learning Spaces
,26670917,Journal of Urban Mobility,Elsevier
26667177,26667185,Notebooks: The Journal for Studies on Power,Brill
3926753,27244679,Quaderni dell'Osservatorio Elettorale,Firenze University Press
,26735768,Tourism and Hospitality,MDPI Multidisciplinary Digital Publishing Institute
15125033,23038888,Bosniaca,National and University Library of Bosnia and Herzegovina
10080821,,Journal of Modern Information,Journal of Modern Information
9701052,2320317X,Library Progress International,BPAS Publications
,24425168,Record and Library Journal,Universitas Airlangga
10077588,,Resources Science,Science Press (China)
25229052,,Advanced Information Systems,National Technical University 'Kharkiv Polytechnic Institute'
26558807,26568888,APTISI Transactions on Technopreneurship,Pandawan Sejahtera Indonesia
,27729184,Cyber Security and Applications,KeAI Publishing Group
,26736470,Digital,MDPI Multidisciplinary Digital Publishing Institute
,26247852,Frontiers in Blockchain,Frontiers Media S.A.
,26341573,IET Blockchain,Wiley-Blackwell
,27703541,Intelligence and Robotics,OAE Publishing Inc.
14485869,18758819,International Journal of Hybrid Intelligent Systems,IOS Press
22528776,27222616,International Journal of Informatics and Communication Technology,Intelektual Pustaka Media Utama
27050785,27050793,Journal of Artificial Intelligence and Consciousness,World Scientific Publishing
,2716621X,Journal of Soft Computing and Data Mining,Penerbit UTHM
,29586542,Mesopotamian Journal of CyberSecurity,Mesopotamian Academic Press
,18347037,Proceedings of the Australasian Language Technology Workshop,Australasian Language Technology Association
21842841,,"Proceedings of the International Conference on Simulation and Modeling Methodologies, Technologies and Applications",SciTePress - SCIENCE AND TECHNOLOGY PUBLICATIONS
,26737078,Biomechanics (Switzerland),MDPI Multidisciplinary Digital Publishing Institute
,27706249,Complex Engineering Systems,OAE Publishing Inc.
,26737590,Future Transportation,MDPI Multidisciplinary Digital Publishing Institute
20894856,27222586,IAES International Journal of Robotics and Automation,Intelektual Pustaka Media Utama
,25763164,IEEE Journal on Miniaturization for Air and Space Systems,IEEE Institute of Electrical and Electronics Engineers
,27729915,Journal of Infrastructure Intelligence and Resilience,Elsevier
,26622521,Journal of Infrastructure Preservation and Resilience,Springer
,2706977X,Material and Mechanical Engineering Technology,NPJSC ?Abylkas Saginov Karaganda Technical University?
,26738732,Network,MDPI Multidisciplinary Digital Publishing Institute
,27723704,Power Electronic Devices and Components,Elsevier
2638647X,26386461,Proceedings in Marine Technology and Ocean Engineering,Informa:  CRC Press
,26575450,System Safety: Human - Technical Facility - Environment,Walter de Gruyter: Sciendo
,26737264,Thermo,MDPI Multidisciplinary Digital Publishing Institute
,27695247,Chemical Synthesis,OAE Publishing Inc.
20088868,22285059,International Journal of Nano Dimension,Islamic Azad University
23032111,2354886X,Jurnal Pengolahan Hasil Perikanan Indonesia,Department of Aquatic Product Technology IPB University in collaboration with Masyarakat Pengolahan Hasil Perikanan Indonesia
,27702995,Microstructures,OAE Publishing Inc.
,26734176,Polysaccharides,MDPI Multidisciplinary Digital Publishing Institute
8873224,21911959,Biology of Extracellular Matrix,Springer
,26734125,Biophysica,MDPI Multidisciplinary Digital Publishing Institute
,26664593,Brain Disorders,Elsevier
,20494173,Neurology and Clinical Neuroscience,Wiley-Blackwell
,27728013,Cleaner and Circular Bioeconomy,Elsevier
,23867418,Revista de Estudios e Investigacion en Psicologia y Educacion,Publications Service of the University of A Coruña
0102700X,22378723,Acervo,Arquivo Nacional
15059057,23531908,Acta Universitatis Lodziensis. Folia Litteraria Polonica,University of Lodz
8560056,1821889X,African Review (Tanzania),Brill
,21647747,Artivate,University of Arkansas Press
2100061,2660647X,Cuadernos para la Investigacion de la Literatura Hispanica,Fundación Universitaria Española
,27852903,Edgar Wind Journal,Bernardino Branca
29521432,20149999,Estudios Bizantinos,Universidad de Alcalá
1213628,2256358X,Estudios de Filosofia (Colombia),Universidad de Antioquia
26667703,26667711,European Journal for the History of Medicine and Health,Brill
143367,,Evangelical Quarterly: An International Review of Bible and Theology,Brill
13013289,28222903,Islam Arastirmalari Dergisi,Center for Islamic Studies of the Türkiye Diyanet Foundation
26397668,26397676,Jazz Education in Research and Practice,Indiana University Press
21662851,21662118,Journal of Moral Theology,Journal of Moral Theology
23375795,23385480,Journal of Visual Art and Design,LPPM ITB
15547000,21538433,Levinas Studies,Philosophy Documentation Center
,19701950,Mediaeval Sophia,Officina di Studi Medievali
21485631,21488134,Mutefekkir,Aksaray University Faculty of Islamic Sciences
,25364421,Online Journal of Music Sciences,Nilgün SAZAK
,21485704,Osmanli Mirasi Arastirmalari Dergisi,Abidin Temizer
16661508,18520499,Prismas: Revista de Historia Intelectual,Universidad Nacional de Quilmes
,21848661,"Rotura: Journal of Communication, Culture and Arts",Research Centre for Arts And Communication/Algarve University
17246148,18243568,"Sardinia, Corsica et Baleares Antiquae",Fabrizio Serra Editore
816485,23537515,Studia Historiae Oeconomicae,Adam Mickiewicz University in Pozna?
19719086,20353065,Tipofilologia,Fabrizio Serra Editore
,23462426,Universitas Philosophica,Pontificia Universidad Javeriana
,23586958,Urdimento,Universidade do Estado de Santa Catarina
25895737,25895745,Youth and Globalization,Brill
5147727,26713985,Ziva Antika,'Ss. Cyril and Metodius' University in Skopje
27668509,27662098,Exploration,Wiley-Blackwell
3525317,18490840,Pravni Vjesnik,"Faculty of law Osijek, University of Osijek"
,22108505,Journal of Risk Analysis and Crisis Response,"Huaxi University Town, Editorial Department of JRACR"
,26999307,Advanced NanoBiomed Research,Wiley-Blackwell:  Wiley-VCH
20884842,24428795,Jurnal Optimasi Sistem Industri,"Industrial Engineering Department, Universitas Andalas"
15623610,,fib Bulletins,fib. The International Federation for Structural Concrete
2411801X,27867374,Architectural Studies,Lviv Polytechnic National University
22292152,2697424X,Journal of Research and Applications in Mechanical Engineering,Thai Society of Mechanical Engineers
9738975,24547190,Journal of Mechanics of Continua and Mathematical Sciences,Inst. of Mechanics of Continua and Mathematical Sciences
17321948,27199975,Journal of Economics and Management (Poland),Walter de Gruyter: Sciendo
18036406,25710265,Studia Romanistica,Ostravská univerzita
1235095,23899441,Cuestiones de Filosofia,Universidad Pedagógica y Tecnológica de Colombia
,27692094,Ornamental Plant Research,Maximum Academic Press
21920923,21920931,Aviation Psychology and Applied Human Factors,Hogrefe Group:  Hogrefe
,20730438,Journal of Corporate Finance Research,National Research University Higher School of Economics
,27673812,Forestry Research,Maximum Academic Press
25208411,2520842X,"Journal of Economics, Race, and Policy",Springer
,10038035,Chinese Journal of Geological Hazard and Control,Editorial Office of The Chinese Journal of Geological Hazards and Control
,27691675,Grass Research,Maximum Academic Press
,26670062,Soil Security,Elsevier
,27725723,Gastro Hep Advances,Elsevier
,27729737,Continence,Elsevier
,23603445,Anthropological Researches and Studies,Francisc I. Rainer Institute of Anthropology
19936508,26871394,Regional Anesthesia and Acute Pain Management,Eco-Vector LLC
16086228,25419544,Kuban Scientific Medical Bulletin,Kuban State Medical University
1361449,26871408,Permskij Medicinskij Zurnal,Eco Vector LLC
,26671379,Advances in Redox Research,Elsevier
,26736772,Parasitologia,MDPI Multidisciplinary Digital Publishing Institute
,1958573X,Physio-Geo,Claude MARTIN
,27730492,Hygiene and Environmental Health Advances,Elsevier
22203095,26188627,Journal of Clinical Practice,Eco Vector LLC
,27730654,AJPM Focus,Elsevier
,27726533,Dialogues in Health,Elsevier
,25258184,Historia Economica e Historia de Empresas,Associação Brasileira dos Pesquisadores em História Econômica
26846748,26569825,Indonesian Journal of Medical Laboratory Science and Technology,Universitas Nahdlatul Ulama Surabaya
,26737647,Frontiers in Bioinformatics,Frontiers Media S.A.
24605824,20864639,Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan,Pusat Penelitian Lingkungan Hidup - Lembaga Penelitian dan Pengabdian Kepada Masyarakat Institut Pertanian Bogor (PPLH-LPPM IPB)
18131646,26640597,Tikrit Journal for Agricultural Sciences,Tikrit University
,29807891,Epidemiology and Health System Journal,Shahrekord University of Medical Sciences
2786720X,27867218,Family Medicine. European Practices,Publishing House Professional-Event
,25881582,North African Journal of Food and Nutrition Research,Lab-NuPABS
15602206,23092491,NAMMCO Scientific Publications,Septentrio Academic Publishing
1815316X,22249796,Mesopotamia Journal of Agriculture,College of Agriculture and Forestry / University of Mosul
2636154X,26361558,International Journal of Heart Failure,the Korean Society of Heart Failure
21989842,21989850,Studies in the History of Law and Justice,Springer
,26734389,Livers,MDPI Multidisciplinary Digital Publishing Institute
,22797483,Veins and Lymphatics,PAGEPress
348597,16097394,Revista de Neuro-Psiquiatria,Universidad Peruana Cayetano Heredia
,26737426,BioMedInformatics,MDPI Multidisciplinary Digital Publishing Institute
20594755,20594763,Journal of 3D Printing in Medicine,Future Science Group:  Future Medicine
16745760,,Chinese Journal of Orthodontics,Chinese Medical Journals Publishing House Co.Ltd
20934378,20934386,Journal of Korean Society of Spine Surgery,Korean Society of Spine Surgery
16256484,16274784,Pedagogie Medicale,EDP Sciences
23018046,25407872,Indonesian Journal of Occupational Safety and Health,Universitas Airlangga
27867315,27867323,Health of Man,Publishing House Professional-Event
,25829912,Asian Journal of Statistical Sciences,ARF India
26199653,26199653,Universal Journal of Mathematics and Applications,Prof. Dr Emrah Evren Kara
10049479,,World Regional Studies,Editorial Department of World Regional Studies
,26736497,Solids,MDPI Multidisciplinary Digital Publishing Institute
,2624781X,Reactions,MDPI Multidisciplinary Digital Publishing Institute
181005,,Hesperis-Tamuda,Mohamed V University
19740565,2037738X,PASIPHAE,Fabrizio Serra Editore
19066244,25869620,Journal of International Buddhist Studies,Mahachulalongkornrajavidyalaya University
,24141399,EAI Endorsed Transactions on Internet of Things,European Alliance for Innovation
,26436817,ACM Transactions on Quantum Computing,ACM Association for Computing Machinery
,29564581,Journal of Kinesiology and Exercise Sciences,Akademia Wychowania Fizycznego im. Bronis?awa Czecha w Krakowie
27833623,27831272,Journal of Applied Organometallic Chemistry,Sami Publishing Company
,26733978,Electronic Materials,MDPI Multidisciplinary Digital Publishing Institute
18297285,2540881X,Jurnal Kesehatan Lingkungan,Universitas Airlangga
305987,25181882,"Orthopaedics, Traumatology and Prosthetics",Sytenko Institute of Spine and Joint Pathology National Ukrainian Academy of Medical Sciences
25766392,25766406,Capitalism,University of Pennsylvania Press
19473370,2165266x,Eudora Welty Review,University of Pennsylvania Press
2567504,24115959,Southern African Journal of Environmental Education,EEASA
,26665921,Natural Hazards Research,"KeAi Communications Co., Ltd."
20954239,,Energy Storage Science and Technology,"Chemical Industry Press Co., Ltd."
,27727831,Cleaner Energy Systems,Elsevier
2546124,,Chinese Journal of Space Science,Science Press (China)
27073521,27089134,Liaquat National Journal of Primary Care,Liaquat National Hospital and Medical College
26169819,26169827,Rwanda Journal of Medicine and Health Sciences,University of Rwanda
24768642,25366149,Annals of Health Research,"Medical and Dental Consultants Association of Nigeria, OOUTH Chapter"
,27732304,Rock Mechanics Bulletin,KeAI Publishing Group
11210303,,Geschichte und Region / Storia e Regione,Studienverlag
2519058X,26642735,East European Historical Bulletin,Drohobych Ivan Franko State Pedagogical University
27831442,27173453,Journal of Fuzzy Extension and Applications,Research Expansion Alliance
1790986,,De Gruyter Studies in Mathematics,Walter de Gruyter
26793873,27066274,International Review of Public Policy,International Public Policy Association
,26876442,Florence Nightingale Journal of Nursing,Aves Yayincilik
1794631X,25005782,Revista de Investigaciones Universidad del Quindio,Universidad del Quindío
,26317877,Organization Theory,Sage
20739524,23108746,Diyala Agricultural Sciences Journal,College of Agriculture - University of Diyala
26932229,,Occasional Papers on Religion in Eastern Europe,George Fox University Library
13040057,26022117,Litera (Turkey),Istanbul University Press
26174162,26174170,Social and Legal Studios,Lviv State University of Internal Affairs
,13393995,Studia Iuridica Cassoviensia,"Pavol Jozef Safarik University in Kosice, Faculty of Law"
23033827,2477815X,Jurnal IUS Kajian Hukum dan Keadilan,University of Mataram
16917677,25929364,Law: Journal of the University of Latvia,University of Latvia Press
26663570,26663589,Global Privacy Law Review,Wolters Kluwer:  Kluwer Law
15774430,19897332,"CIRIEC-Espana, Revista Juridica de Economia Social y Cooperativa","Centro Internacional de Investigación e Información sobre la Economía Pública, Social y Cooperativa"
,26737051,Adolescents,MDPI Multidisciplinary Digital Publishing Institute
,26179148,Journal of Audiovisual Translation,European Association for Studies in Screen Translation
22262008,,Odesa Medical Journal,Odesa National Medical University
,26375974,Journal of Psychosocial Oncology Research and Practice,Wolters Kluwer:  Lippincott Williams and Wilkins
,27526542,PNAS Nexus,Oxford University Press
13006525,21490880,Journal of Ear Nose Throat and Head Neck Surgery,Türkiye Klinikleri - Ortadogu Reklam Tanitim Yayincilik Turizm Egitim Insaat Sanayi ve Ticaret A.S.
,19257066,International Journal of Alcohol and Drug Research,Kettil Bruun Society for Social and Epidemiological Research on Alcohol
,25619128,JMIR Perioperative Medicine,JMIR Publications
,21843023,Revista Portuguesa de Enfermagem de Reabilitacao,Associação Portuguesa dos Enfermeiros de Reabilitação
23221399,25883739,Journal of Medicinal Plants and By-Products,Iranian Medicinal Plants Society
,26899655,Computational and Systems Oncology,Wiley-Blackwell
9702997,25837583,Indian Journal of Animal Reproduction,ACS Publisher
,26740109,Frontiers in Network Physiology,Frontiers Media S.A.
,27305066,Agrociencia Uruguay,Universidad de la República
26674947,26675080,Turkish Journal of Vascular Surgery,Turkish National Vascular and Endovascular Surgery Society
,26673193,Journal of Government and Economics,Elsevier
25912240,25912259,Central European Public Administration Review,"University of Ljubljana, Faculty of Public Administration"
25147641,2514765X,Journal of Participation and Employee Ownership,Emerald
22557563,22560173,Economics and Culture,Walter de Gruyter: Sciendo
26766868,26764938,Journal of Chemical Reviews,Sami Publishing Company
,27695441,Soft Science,OAE Publishing Inc.
19918631,1997342X,International Journal of Biological and Chemical Sciences,International Formulae Group
8719527,21837937,CADMO,Centre for History of the University of Lisbon
,25253824,Revista Interdisciplinar de Ciencia Aplicada,Universidade de Caxias do Sul
,26736357,Hemato,MDPI Multidisciplinary Digital Publishing Institute
23131934,27692795,Ibrain,Wiley-Blackwell:  Wiley-VCH
,27314383,Discover Mental Health,Springer
,26884526,BJUI Compass,Wiley-Blackwell
22842403,22835733,Global and Regional Health Technology Assessment,AboutScience Srl
,26673185,Artificial Intelligence in the Life Sciences,Elsevier
,26735318,Psychiatry International,MDPI Multidisciplinary Digital Publishing Institute
1176293,27189201,Southeastern Philippines Journal of Research and Development,University of Southeastern Philippines
26346613,26346621,"Pop Music, Culture, and Identity",Springer:  Palgrave Macmillan
,22951210,Dragoman,Arabic Translators International
1645653X,2184173X,Ophiussa,"School of Arts, University of Lisbon"
,26148013,Nazhruna: Jurnal Pendidikan Islam,Institut Pesantren KH Abdul Chalim Mojokerto
27711749,27711757,Health Care Science,Wiley-Blackwell
,19963521,Revista Infodir,Editorial Ciencias Medicas
21971951,2197196X,Springer International Handbooks of Education,Springer
19709889,19709870,"TeMA Journal of Land Use, Mobility and Environment",FeDOA - Federico II University Press at Center for Libraries 'Roberto Pettorino'
,23686669,Quality Advancement in Nursing Education,Canadian Association of Schools of Nursing
23942746,23942754,Indian Journal of Obstetrics and Gynecology Research,IP Innovative Publication Pvt. Ltd.
2762366,15414477,"Imagination, Cognition and Personality",Sage
17588715,17588723,International Journal of Intelligent Engineering Informatics,Inderscience Publishers
,2624800X,Journal of Cybersecurity and Privacy,MDPI Multidisciplinary Digital Publishing Institute
,27310809,Discover Artificial Intelligence,Springer
2688299X,26883007,ACM Transactions on Evolutionary Learning and Optimization,ACM Association for Computing Machinery
,25901095,Archives of Rehabilitation Research and Clinical Translation,Elsevier
,23993529,Human Reproduction Open,Oxford University Press
22776729,23494174,Indian Journal of Canine Practice,"Dr. A. K. Srivastva, Secretary General of ISACP"
,2582631X,International Research Journal of Multidisciplinary Scope,Iquz Galaxy Publisher
,23480335,Journal of Applied Pharmaceutical Research,Creative Pharma Assent
,26675846,Experimed,Istanbul University Press
,20575696,Martial Arts Studies,Cardiff University Press
,16467752,Journal of History of Science and Technology,Walter de Gruyter: Sciendo
21897247,21897255,Fujita Medical Journal,Fujita Medical Society
,26736861,Frontiers in Rehabilitation Sciences,Frontiers Media S.A.
2734844X,27348458,Balneo and PRM Research Journal,"Romanian Association of Balneology, http://bioclima.ro/"
25873458,25873466,One Health and Risk Management,the Moldovan Association for Biosafety and Biosecurity
19328648,19328656,Global South,Indiana University Press
13380141,26444879,Studia Biblica Slovaca,Comenius University
23718366,23718374,Journal of Project Management (Canada),Growing Science
,27730786,Journal of Natural Pesticide Research,Elsevier
23139129,23139137,Austral Comunicacion,School of Communication-Austral University
20517483,20525907,Peking University Law Journal,Informa:  Taylor & Francis
23774657,23774665,"Corrections: Policy, Practice, and Research",Informa:  Taylor & Francis
,27047318,Rivista Italiana di Informatica e Diritto,CNR - Consiglio Nazionale delle Ricerche
,27239195,Ceridap,Diana Urania Galetta
2085627X,25286617,Al-Ahwal,"Al-Ahwal Research Center, Program Studi Hukum Keluarga Islam Fakultas Syariah Dan Hukum Uin Sunan Kalijaga Yogyakarta"
25231367,2663323X,African Human Rights Yearbook,Pretoria University Law Press
,27159698,Khazanah Hukum,UIN Sunan Gunung Djati Bandung
20644965,,ELTE Law Journal,ELTE University Press
20891970,26228645,El-Mashlahah,Sharia Faculty of State Islamic Institute (IAIN) Palangka Raya
19786670,25794167,Al-Manahij: Jurnal Kajian Hukum Islam,Universitas Islam Negeri Prof. K.H. Saifuddin Zuhri Purwokerto
8520941,25490907,Yustisia,"Faculty of Law, Universitas Sebelas Maret"
26832038,25940082,Revista de Estudios en Derecho a la Informacion,Universidad Nacional Autonoma de Mexico
10969411,2769822X,Dental Anthropology,OpenJournals Publishing
20968930,,Space-Integrated-Ground Information Networks,China InfoCom Media Group
,27120562,Sustainable Engineering and Innovation,Research and Development Academy
,26895595,Applied AI Letters,Wiley-Blackwell
13133330,28154002,Mathematics and Education in Mathematics,Union of Bulgarian Mathematicians
,26367467,International Journal of Maps in Mathematics,Bayram Sahin
19768605,22881433,Korean Journal of Mathematics,The Kangwon-Kyungki Mathematical Society
5777518,,Journal of Plant Protection,Editorial Board of Journal of Plant Protection
,27694615,Fruit Research,Maximum Academic Press
,27690520,Vegetable Research,Maximum Academic Press
,29573645,Social and Health Sciences,University of South Africa Press
,26674432,Journal of Universal History Studies,Sabit Dokuyan
27692159,27314375,Droplet,Wiley-Blackwell
,23644575,Journal of Shipping and Trade,Springer
3318443,24678821,Nigerian Journal of Technology,"Faculty of Engineering, University of Nigeria"
,27094715,GigaByte,Oxford University Press
26673762,26673762,Advances in Ophthalmology Practice and Research,Elsevier
10064990,,Inorganic Chemicals Industry,Editorial Office of Inorganic Chemicals Industry
,27194523,Rheumatology and Immunology Research,Walter de Gruyter
16628969,16620356,Advances in Science and Technology,Trans Tech Publications
,26884062,Small Structures,Wiley-Blackwell: Wiley-VCH
,21730040,Re-visiones,Universidad Complutense de Madrid
0585492X,17241588,Studi Ispanici,Fabrizio Serra Editore
,27918564,Mathematical Modelling and Numerical Simulation with Applications,Mehmet Yavuz
2475742X,,CPSS Transactions on Power Electronics and Applications,China Power Supply Society
22316094,,Indian Journal of Information Sources and Services,The Research Publication
24096121,25221361,Physical Sciences and Technology,Al-Farabi Kazakh National University
23570326,23570334,Microbial Biosystems,Arab Society for Fungal Conservation
1674991X,,Journal of Environmental Engineering Technology,"Editorial Board, Journal of Environmental Engineering Technology"
10010890,,Petroleum Drilling Techniques,Science Press
27546322,,Offshore Site Investigation and Geotechnics,Society for Underwater Technology
,26874814,Montes Taurus Journal of Pure and Applied Mathematics,MTJPAM Turkey
,26314444,Compositionality,Arxiv-overlay journal
10058206,,Environmental Sanitation Engineering,Editorial Office of Environmental Sanitation Engineering
,25152564,Contact,Sage
,26330407,Immunometabolism,Wolters Kluwer:  Lippincott Williams and Wilkins
,2665945X,Current Research in Neurobiology,Elsevier
,27723925,Addiction Neuroscience,Elsevier
10170499,24124265,Studia Historiae Ecclesiasticae,Church History Society of Southern Africa
20728174,23073640,Revista del Nacional (Itaugua),"Paraguay, Ministerio de Salud Pública y Bienestar Social, Centro Médico Nacional-Hospital Nacional"
,26883600,Local Development and Society,Informa:  Taylor & Francis
2100452,23398256,Els Marges,"L'Avenç, S. L."
,26410478,Critical Times,Duke University Press
14120992,2527922X,Millah,Program Studi Ilmu Agama Islam Program Magister
,27684830,Research in Mathematics,Informa:  Taylor & Francis
,26759225,Biological Models Research and Technology Journal,Brazilian society of science in laboratory animals
4395689,26051729,Hormigon y Acero,ASOCIACIÓN ESPAÑOLA DE INGENIERÍA ESTRUCTURAL (ACHE)
,27658031,BME Frontiers,American Association for the Advancement of Science
23224398,23224401,Journal of Pediatrics Review,Negah Scientific Publisher
,26325012,Sleep Advances,Oxford University Press
,26942453,ACS Polymers Au,ACS American Chemical Society
16732383,,Journal of Henan University of Technology -Natural  Science Edition,Editorial  Department of  Journal of Henan University of  Technology
23930624,23931078,Cultural Intertexts,Casa Cartii de Stiinta
9927654,22214038,Documents pour l?Histoire du Francais Langue Etrangere ou Seconde,OpenEdition
22111921,2211193X,SpringerBriefs in Education,Springer
,26884682,Journal of Race Ethnicity and the City,Informa:  Taylor & Francis
20970064,26941589,Journal of Remote Sensing (United States),American Association for the Advancement of Science
22835768,24210277,Tre Corone,Fabrizio Serra Editore
2543344X,25433431,Journal d'Imagerie Diagnostique et Interventionnelle,Elsevier
,2612226X,Studi AISV,Officinaventuno
,27725987,Psychiatry Research Communications,Elsevier
,21831750,Aniki: Portuguese Journal of the Moving Image,AIM (Portuguese Association of Researchers of the Moving Image)
2610945X,26109441,Filologie Medievali e Moderne: Serie Occidentale and Serie Orientale,Fondazione Università Ca' Foscari
26108879,26109433,Eurasiatica,Fondazione Università Ca' Foscari
15074153,27194191,Napis,Wydawnictwo Instytutu Bada? Literackich PAN (Publishing House of the Institute of Literary Research of the Polish Academy of Sciences)Nauk
,19187351,Analecta Hermeneutica,International Institute for Hermeneutics
,26187183,Construction Materials and Products,Belgorod State Technological University named after V.G. Shukhov
13041096,13041088,Turkish Journal of Public Health,Association of Public Health Specialists
16729854,,Marine Origin Petroleum Geology,Editorial Department of Marine Origin Petroleum Geology
20969120,,Journal of Gems and Gemmology,"Editorial Department of Journal of Gems and Gemmology,China University of Geosciences"
,29497531,Innovation and Green Development,Elsevier
26662353,25899449,Global Journal on Quality and Safety in Healthcare,Innovative Healthcare Institute
,25203134,Texila International Journal of Public Health,Texila International Journal
,26618001,npj Urban Sustainability,Springer:  Nature Publishing Group
10096906,,Chinese Journal of Nautical Medicine and Hyperbaric Medicine,Chinese Medical Journals Publishing House Co.Ltd
,23796227,Computational Psychiatry,Ubiquity Press
,24589675,Spiritual Psychology and Counseling,Halil Eksi
10032053,,Studies in Science of Science,Editorial  Department  of 'Studies in Science of Science'
,27738752,ASEAN Journal of Scientific and Technological Reports,THAKSIN UNIVERSITY
25903284,25903276,Political Anthropological Research on International Social Sciences,Brill
,26667991,Applied Corpus Linguistics,Elsevier
,23920718,e-Scripta Romanica,Lodz University Press
,20509863,Journal of Open Psychology Data,Ubiquity Press
8548919,25031023,Jurnal Media Hukum,Universitas Muhammadiyah Yogyakarta
10016880,,Tianran Chanwu Yanjiu yu Kaifa,Science Press (China)
1000890X,,China Rubber Industry,Editorial Office of China Rubber Industry
,26928388,IEEE Journal of Microwaves,IEEE Institute of Electrical and Electronics Engineers
,26008084,Applications of Modelling and Simulation,ARQII PUBLICATION
,26957566,Cronica Tributaria,Instituto de Estudios Fiscales
,23328886,Bioelectronic Medicine,Springer:  BioMed Central (BMC)
,25901826,Environmental Chemistry and Ecotoxicology,KeAI Publishing Group
10010629,,Pratacultural Science,Editorial Office of Pratacultural Science
15609588,24129097,Russian Journal of Skin and Venereal Diseases,Eco-Vector LLC
26219980,26218720,Teknomekanik,Universitas Negeri Padang
,27725014,Human Factors in Healthcare,Elsevier
26164868,,Clinical and Preventive Medicine,State Institution of Science «Research and Practical Center of Preventive and Clinical Medicine» State Administration Department
1004874X,,Guangdong Agricultural Sciences,Guangdong Academy of Agricultural Sciences
22824863,22833153,Azimuth,Inschibboleth edizioni
26771640,26770660,RussianStudiesHu,The Foundation for Russian Language and Culture
25169084,25169092,Early Middle English,Arc Humanities Press
15085430,27197689,Systemy Logistyczne Wojsk,"Institute of Logistics, Faculty of Security, Logistics and Management, Military University of Technology"
14513455,26200163,Philotheos,Gnomon Center for the Humanities
15365514,23337168,Ghana Studies,University of Wisconsin Press
1829006X,,Bulletin of Stomatology and Maxillofacial Surgery,Akra LLC
23035005,23035013,Economics - Innovative and Economics Research Journal,Walter de Gruyter: Sciendo
20674252,25016334,Argument (Romania),Editura Universitar? ?Ion Mincu?
22260838,24143588,Neurology and Neurosurgery. Eastern Europe,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
730548,19446454,Harvard Journal of Asiatic Studies,Harvard-Yenching Institute
20670621,22481907,Schutzian Research,Zeta Books
,21924449,CEN Case Reports,Springer
26108844,26109360,Biblioteca di Rassegna Iberistica,Fondazione Università Ca' Foscari
22263322,24143596,Otorhinolaryngology Eastern Europe,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
