PrintISSN,EISSN,Title,Publisher,Reason for re-evaluation,Year,Volume,Issue,Page range
,17557682,International archives of medicine,iMedPub,Publication Concerns,2015,8,1,-
19935250,,International Business Management,Medwell Journals,Publication Concerns,2016,10,24,5777-5786
,22232877,International Conference on Applied and Computational Mathematics,World Scientific and Engineering Academy and Society,Publication Concerns,2011,-,-,189-194
,17924863,International Conference on Applied Computer Science - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,649-652
,,International Conference on Applied Mathematics and Informatics - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,239-246
,17924332,"International Conference on Applied Mathematics, Simulation, Modelling - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2011,-,-,197-201
,17924324,"International Conference on Circuits, Systems and Signals - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,0,0,374-379
,,"International Conference on Circuits, Systems, Electronics, Control and Signal Processing - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,210-214
,,"International Conference on Circuits, Systems, Signal and Telecommunications - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2011,-,-,121-126
,,International Conference on Communication and Management in Technological Innovation and Academic Globalization - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,154-159
,,International Conference on Communications - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,252-258
,17924316,International Conference on Communications and Information Technology - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2012,-,-,429-434
,,"International Conference on Data Networks, Communications, Computers - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,166-169
,,"International Conference on Development, Energy, Environment, Economics - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,403-406
,17925061,International Conference on Education and Educational Technologies - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,387-392
,,"International Conference on Electric Power Systems, High voltages, Electric machines, International conference on Remote sensing - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,356-363
,17924340,"International Conference on Energy and Development, Environment and Biomedicine - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,104-108
,,International Conference on Engineering Education and International Conference on Education and Educational Technologies - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2011,0,0,295-301
,,"International Conference on Engineering Mechanics, Structures, Engineering Geology, International Conference on Geography and Geology - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,557-560
,17924693,"International Conference on Manufacturing Engineering, Quality and Production Systems, MEQAPS - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2011,-,-,315-320
,,International Conference on Mathematical and Computational Methods in Science and Engineering - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,357-361
,,International Conference on Mathematical Methods and Computational Techniques in Electrical Engineering - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,177-183
,,International Conference on Mathematical Models for Engineering Science - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,284-288
,1792507X,International conference on System Science and Simulation in Engineering - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,494-499
,17924359,"International Conference on Theoretical and Applied Mechanics, International Conference on Fluid Mechanics and Heat and Mass Transfer - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,148-152
,,International Conference on Urban Planning and Transportation - Proceedings,World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,180-185
,,"International Conference on Urban Sustainability, Cultural Sustainability, Green Development, Green Structures and Clean Cars, USCUDAR - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2011,-,-,188-191
,,"International Conference on Visualization, Imaging and Simulation - Proceedings",World Scientific and Engineering Academy and Society,Publication Concerns,2010,-,-,149-163
19139020,,International Education Studies,Canadian Center of Science and Education,Publication Concerns,2015,8,6,-
,22502459,International Journal Emerging Technology and Advanced Engineering ,IJETAE Publication House,Publication Concerns,2022,12,12,152-160
22497277,22777970,International Journal of Advanced Computer Research,Accents Social And Welfare Society,Publication Concerns,2018,8,39,354-363
9766480,9766499,International Journal of Advanced Research in Engineering and Technology,IAEME Publication,Publication Concerns,2020,11,6,637-645
20054238,22076360,International Journal of Advanced Science and Technology,Science and Engineering Research Support Society,Publication Concerns,2020,29,9,3315-3325
,22783091,International Journal of Advanced Trends in Computer Science and Engineering,World Academy of Research in Science and Egineering,Publication Concerns,2020,8,6,3684-3691
,9761055,International Journal of Advances In Pharmaceutical Sciences,Advanced Research Journals,Publication Concerns,2011,2,1,40-44
9731903,9763392,International Journal of Agricultural and Statistical Sciences  ,Dev College,Radar,2022,18,2,913-920
23118547,23116110,International Journal of Agricultural Extension,EScience Press,Publication Concerns,2022,10/Sp.Issue 1/129-146/, ,129-149
18164897,21522553,International Journal of Agricultural Research,Academic Journals Inc.,Publication Concerns,2016,11,4,135-142
9727302,,International Journal of Applied Business and Economic Research,Serials Publications (a.k.a. International Science Press),Publication Concerns,2017,15,26,625-641
9731792,9739734,International Journal of Applied Chemistry,Research India Publications,Publication Concerns,2016,12,4,811-816
,26334828,International Journal of Applied Engineering and Technology (London) ,Roman Science Publications and Distributions,Publication Concerns,2023,5,3,185-191
9734562,9739769,International Journal of Applied Engineering Research,Research India Publications,Publication Concerns,2017,12,24,16083-16086
,26662795,International Journal of Applied Engineering Research (Netherlands),Roman Science Publications and Distributions,Publication concerns,2020,5,2,NA
22003592,22003452,International Journal of Applied Linguistics and English Literature,Australian International Academic Centre PTY. LTD.,Publication Concerns,2017,0,0,128-135
,19406223,International Journal of Applied Research in Natural Products,Healthy Synergies Publications,Publication Concerns,2016,9,4,28-34
22337849,,International Journal of Bio Science and Bio Technology,Science and Engineering Research Support Society,Publication Concerns,2016,8,6,005-007
,21524114,International Journal of Biochemistry and Molecular Biology,E-Century Publishing Corporation,Publication Concerns,2017,8,2,13-22
1819155X,21522561,International Journal of Biological Chemistry,Academic Journals Inc.,Publication Concerns,2016,10,01-Apr,01-Jun
,19984510,International Journal of Biology and Biomedical Engineering,North Atlantic University Union NAUN,Publication Concerns,2022,16,,298-310
15509702,15552810,International Journal of Biomedical Science,Master Publishing Group,Publication Concerns,2016,12,4,149-154
18119700,18119719,International Journal of Botany,ANSI Asian Network for Scientific Information,Publication Concerns,2018,14,1,43-58
15551296,23788577,International Journal of Business Research,International Academy of Business and Economics,Publication Concerns,2016,16,4,161-175
18119727,18119735,International Journal of Cancer Research,Academic Journals Inc.,Publication Concerns,2018,14,2,100-108
23343427,23343486,International Journal of Celiac Disease,Science and Education Publishing,Publication Concerns,2017,5,4,173-174
0972768X,,International Journal of Chemical Sciences,Sadguru Publications,Publication Concerns,2016,14,4,2527-2534
9744290,24559555,International Journal of Chemtech Research,Sphinx Knowledge House,Publication Concerns,2016,9,11,466-483
,19984464,International Journal of Circuits Systems and Signal Processing,North Atlantic University Union NAUN,Publication Concerns,2022,16,,1102-1108
9766308,9766316,International Journal of Civil Engineering and Technology,IAEME Publication,Radar,2019,10,2,2475-2482
,19405901,International Journal of Clinical and Experimental Medicine,E-Century Publishing Corporation,Radar,2017,10,12,16830-16839
,19362625,International Journal of Clinical and Experimental Pathology,E-Century Publishing Corporation,Radar,2017,10,12,12003-12009
9737421,,International Journal of Combinatorial Graph Theory and Applications,Ashwin Anokha Publications and Distributors,Publication Concerns,2020,5,2,119-143
9748571,,International Journal of Computational Intelligence in Control,MUK Publications and Distribution,Publication Concerns,2021,13,2,29-34
,20054297,International Journal of Control and Automation,Science and Engineering Research Support Society,Publication Concerns,2020,13,3,99-104
9745572,,International Journal of Control Theory and Applications,Serials Publications,Publication Concerns,2016,9,11,1319-1325
,19294409,International Journal of Criminology and Sociology,Lifescience Global,Publication concerns,2021,10,,709-715
,0976822X,International Journal of Current Pharmaceutical Review and Research,Dr Yashwant L Choudhry,Publication Concerns,2017,9,1,32-35
22312196,9755241,International Journal of Current Research and Review,Radiance Research Academy,Publication concerns,2021,13,8,171-177
,23778075,International Journal of Dentistry and Oral Science,SciDoc Publishers,Publication concerns,2021,8,9,5567-5573
14479532,14479583,"International Journal of Diversity in Organisations, Communities and Nations",Common Ground Research Networks,Continuous curation,2019,19,1,19-35
,9750215,International Journal of Drug Delivery,Advanced Research Journals,Publication Concerns,2015,7,1,52-59
9759344,,International Journal of Drug Development and Research,iMedPub,Publication Concerns,2015,7,2,-
13085581,,International Journal of Early Childhood Special Education,"Anadolu University, Faculty of Education",Publication Concerns,2021,13,2,1350-1366
9745904,,International Journal of Earth Sciences and Engineering,CAFET-INNOVA Technical Society,Publication Concerns,2016,9,8,2878-2887
9731385,9737537,International Journal of Ecological Economics and Statistics,"CESER Centre for Environment, Social and Economic Research",Publication Concerns,2017,38,4,164-172
9729984,9737308,International Journal of Ecology and Development,"Centre for Environment, Social and Economic Research (CESER) Publications",Radar,2017,32,4,169-182
0377015X,23205199,International Journal of Ecology and Environmental Sciences,National Institute of Ecology,Publication Concerns,2010,36,4,277-280
,13071637,International Journal of Economic Perspectives,International Economic Society,Publication Concerns,2017,11,4,978-989
9729380,,International Journal of Economic Research,Serials Publications (a.k.a. International Science Press),Publication Concerns,2017,14,20,501-521
22414754,,International Journal of Economics and Business Administration,International Strategic Management Association,Publication concerns,2020,8,3,478-488
9766545,9766553,International Journal of Electrical Engineering and Technology,IAEME Publication,Publication Concerns,2021,-,-,-
0973628X,,International Journal of Electrospun Nanofibers and Applications,MUK Publications and Distribution,Publication Concerns,2020,6,1,81-95
18688799,18630383,International Journal of Emerging Technologies in Learning ,International Association of Online Engineering,Publication Concerns,2023,18,18,261-276
,23473983,International Journal of Emerging Trends in Engineering Research,World Academy of Research in Science and Egineering,Publication Concerns,2020,8,1,239-246
,22498958,International Journal of Engineering and Advanced Technology,Blue Eyes Intelligence Engineering and Sciences Publication,Publication Concerns,2019,9,1,7606-7610
23198613,9754024,International Journal of Engineering and Technology,Engg Journals Publications,Publication Concerns,2017, , ,2791-2794 
,2227524X,International Journal of Engineering and Technology(UAE),Science Publishing Corporation,Publication Concerns,2018,4.2 Special Issue  9,,258-261
14728915,,International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,C R L Publishing Ltd.,Metrics,2017,25,1,41-48
9743154,,International Journal of Engineering Research and Technology,International Research Publication House,Publication concerns,2021,12,12,4992-4999
10999264,,International Journal of Entrepreneurship,Allied Business Academies,Publication concerns,2021,25,6,001-008
,13063065,International Journal of Environmental and Science Education,Look Academic Publishers,Publication Concerns,2016,11,18,13069-13078
19234023,19234031,International Journal of Finance Research,Sciendu Press,Publication Concerns,2020,11,5,527-537
11787074,,International Journal of General Medicine,Dove Medical Press Ltd,Radar,2023,16,,2805-2817
9738258,19984103,International Journal of Green Pharmacy,B R Nahata College of Pharmacy,Publication Concerns,2018,12,4,328
20054262,22076379,International Journal of Grid and Distributed Computing,SERSC Australia,Radar,2018,11,11,39-52
25506978,2550696X ,International Journal of Health Sciences ,Universidad Tecnica de Manabi,Publication Concerns,2021,5,3,670-680
17400562,17400570,International Journal of High Performance Computing and Networking,Inderscience Publishers,Radar,2018,12,4,418-427
19276044,19276052,International Journal of Higher Education,Sciedu Press,Publication Concerns,2020,9,9,80-85
9723757,,International Journal of Human Genetics,Kamla-Raj Enterprises,Publication Concerns,2016,16,44654,005-007
,2231525X,International Journal of Imaging and Robotics,"CESER Centre for Environment, Social and Economic Research",Radar,2017,17,4,97-104
22011315,22011323,"International Journal of Innovation, Creativity and Change",Primrose Hall Publishing Group,Publication Concerns,2020,13,6,1-871
,22783075,International Journal of Innovative Technology and Exploring Engineering,Blue Eyes Intelligence Engineering and Sciences Publication,Publication Concerns,2019,9,1,5452-5455
1694609X,13081470,International Journal of Instruction,Gate Association for Teaching and Education,Publication Concerns,2023,16,3,1127-1146 
9742816,9738363,International Journal of Integrative Biology,Omics Publishing Group,Publication Concerns,2017,18,1,44902
2074904X,20749058,International Journal of Intelligent Systems and Applications,Modern Education And Computer Science Press,Radar,2018,10,12,91
,20103700,International Journal of Machine Learning and Computing,EJournals,Publication Concerns,2019,9,6,893-898
9766502,9766510,International Journal of Management,IAEME Publication,Publication Concerns,2020,11,6,267-276
13128876,13147579,International Journal of Mathematical Analysis,Hikari Ltd,Publication Concerns,2016,10,25-28,375-1387
,19980140,International Journal of Mathematical Models and Methods in Applied Sciences,NAUN North Atlantic University Union,Publication Concerns,2016,10,,367-372
,19980159,International Journal of Mathematics and Computers In Simulation,NAUN North Atlantic University Union,Publication Concerns,2016,10,,390-398
22272771,2077124X,International Journal of Mechanical and Mechanics Engineering,IJENS Publishers,Continuous curation,2020,20,2,108-119
22496890,22498001,International Journal of Mechanical and Production Engineering Research and Development,Transstellar Journal Publications and Research Consultancy Private Limited (TJPRC),Publication Concerns,2020,10,4,83-92
9745823,,International Journal of Mechanical Engineering,Kalahari Journals,Publication Concerns,2022,7,1,2841-2847
9766340,9766359,International Journal of Mechanical Engineering and Technology,IAEME Publication,Radar,2019,10,2,1789 - 1797
,24101869,International Journal of Membrane Science and Technology ,Cosmos Scholars Publishing House,Publication Concerns,2023,10,3,460-475
1470949X,17415217,International Journal of Mobile Communications,Inderscience Publishers,Publication Concerns,2018,16,6,715-734
,19481756,International Journal of Molecular Epidemiology and Genetics,E-Century Publishing Corporation,Radar,2017,8,5,59
19750080,,International Journal of Multimedia and Ubiquitous Engineering,Science and Engineering Research Support Society,Publication Concerns,2016,11,12,007-020
1816353X,18163548,International Journal of Network Security,"Femto Technique Co., Ltd.",Radar,2017,19,6,1072-1079
,20086822,International Journal of Nonlinear Analysis and Applications,"Semnan University, Center of Excellence in Nonlinear Analysis and Applications",Publication Concerns,2022,13,1,1667-1672
9732667,9744827,International Journal of Oceans and Oceanography,Research India Publications,Publication Concerns,2016,10,2,287-298
19945442,20772157,International Journal of Osteoporosis and Metabolic Disorders,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,1,23-28
,23455055,International Journal of Pediatrics- Mashhad,Mashhad University of Medical Sciences,Publication Concerns,2017,5,12,6779-6780
,9756299,International Journal of Pharma and Bio Sciences,UBI journal Ubitech pvt lts,Publication Concerns,2016,7,4,P192-P196
,9751556,International Journal of Pharmaceutical and Clinical Research,Dr. Yashwant Choudhary,Publication Concerns,2016,8,12,1685-1694
,9752366,International Journal of Pharmaceutical Research,Advanced Scientific Research,Publication concerns,2021,13,1,NA
,0976044X,International Journal of Pharmaceutical Sciences Review and Research,Global Research Online Publishing House,Publication Concerns,2016,42,1,312-316
,9754873,International Journal of Pharmacognosy and Phytochemical Research,Yashwant L Choudhary,Publication Concerns,2016,8,12,2085-2089
18117775,18125700,International Journal of Pharmacology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,14,8,1198-1202
,9751491,International Journal of Pharmacy and Pharmaceutical Sciences,Innovare Academic Sciences Pvt ltd,Publication Concerns,2017,9,4,223
,0975766X,International Journal of Pharmacy and Technology,Dr.B.A.Reddy,Publication Concerns,2016,8,4,27421-27426
9744304,24559563,International Journal of Pharmtech Research,SPHINX KNOWLEDGE HOUSE,Publication Concerns,2016,9,12,991-998
,19448171,"International Journal of Physiology, Pathophysiology and Pharmacology",E-Century Publishing Corporation,Radar,2017,9,6,231-239
,9750185,International Journal of Phytomedicine,Advanced Research Journals,Publication Concerns,2016,8,4,558-556
16828356,19947992,International Journal of Poultry Science,ANSI Asian Network for Scientific Information,Publication Concerns,2018,17,12,568-619
,25253654,International Journal of Professional Business Review,AOS-Estratagia and Inovacao,Radar,2023,8,5,001-027 - Article nr: e0986
,14757192,International Journal of Psychosocial Rehabilitation,Hampstead Psychological Associates,Publication Concerns,2020,24,4,5669-5676
,13143395,International Journal of Pure and Applied Mathematics,Academic Publications Ltd.,Publication Concerns,2016,118,3,819-835
,22773878,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering and Sciences Publication,Publication Concerns,2019,8,special issue,4182-4188
22774343,22293566,International Journal of Research In Ayurveda and Pharmacy,Moksha Publishing House,Publication Concerns,2016,7,6,79-84
,21489955,International Journal of Research in Education and Science,Ismail Sahin,Publication Concerns,2020,6,4,1-712
,9757538,International Journal of Research in Pharmaceutical Sciences,JK Welfare & Pharmascope Foundation,Publication concerns,2020,11,Spl:3,1990-1996
,22778616,International Journal of Scientific and Technology Research,International Journal of Scientific and Technology Research,Publication Concerns,2020,9,5,273-278
17389976,,International Journal of Security and Its Applications,Science and Engineering Research Support Society,Publication Concerns,2016,10,12,409-418
1473804X,14738031,"International Journal of Simulation: Systems, Science and Technology",Uk Simulation Society,Radar,2018,19,6,60.1-60.9
23154462,23733594,International Journal of Smart Grid and Clean Energy,Engineering and Technology Publishing,Publication Concerns,2019,8,6,806-8012
19754094,2383725X,International Journal of Smart Home,Science and Engineering Research Support Society,Publication Concerns,2016,10,12,231-244
9732039,,International Journal of Sociology of the Family,Serials Publications,Publication Concerns,2019,415,2,79-101
18169503,,International Journal of Soft Computing,Medwell Journals,Publication Concerns,2016,11,6,437-443
17389984,,International Journal of Software Engineering and its Applications,Science and Engineering Research Support Society,Publication Concerns,2016,10,12,007-018
18164978,,International Journal of Soil Science,Academic Journals Inc.,Publication Concerns,2016,11,4,137-142
20513771,20507399,International Journal of Supply Chain Management,Exceling Tech Publishers,Publication Concerns,2020,9,4,1269-1275
19975422,23099607,International Journal of Systems Signal Control and Engineering Application,Medwell Journals,Publication Concerns,2016,9,3,60-65
23193336,,International Journal of Tomography and Simulation,"CESER Centre for Environment, Social and Economic Research",Radar,2017,30,4,118-126
,9755160,International Journal of Toxicological and Pharmacological Research,Yashwant L Choudhary,Publication Concerns,2016,8,6,471-474
18163319,1818779X,International Journal of Tropical Medicine,Medwell Journals,Publication Concerns,2016,11,5,175-181
18164900,,International Journal of Virology,Academic Journals Inc.,Publication Concerns,2018,14,1,01-Dec
,11791403,International Journal of Wine Research,Dove Medical Press Ltd.,Continuous curation,2020,12,1,42370
18119778,18119786,International Journal of Zoological Research,Academic Journals Inc.,Publication Concerns,2018,14,2,49-76
19422660,,International Journal on Advances in Life Sciences,"International Academy, Research, and Industrial Association",Publication Concerns,2016,8,(3-4),297-308
9758364,22493255,International Journal on Emerging Technology,Research Trend,Publication Concerns,2020,13,3,975-982
,23218169,International Journal on Recent and Innovation Trends in Computing and Communication,Auricle Global Society of Education and Research,Radar,2023,11,9s,777-785
13412051,24363294,International Medical Journal,Japan International Cultural Exchange Foundation,Publication Concerns,2022,29,1,72-76
14502887,,International Research Journal of Finance and Economics,Eurojournals Inc,Publication Concerns,2012,96,,155-167
9732047,,International Review of Modern Sociology,Serials Publications,Publication Concerns,2020,46,2,127-148
18286003,18286011,International Review on Computers and Software,Praise Worthy Prize,Publication Concerns,2016,11,12,1209-1216
,19378289,Internet Journal of Microbiology,Internet Scientific Publications,Continuous curation,2020,17,1,1 to 8
17578981,1757899X,IOP Conference Series: Materials Science and Engineering,IOP Publishing Ltd,Publication Concerns,2021,1065,1,NA
20741804,20741812,Iranian Red Crescent Medical Journal,Kowsar Medical,Publication Concerns,2018,20,12,e87109
19441967,19441975,ISACA Journal,Information Systems Audit and Control Association (ISACA),Radar,2020,6,,49-56
3682781,21865477,Japanese Journal of Antibiotics,Japan Infectious Diseases Association of Public Interest Foundation,Metrics,2017,70,6,355-360
15908577,,JOP. Journal of the Pancreas,iMedPub,Publication Concerns,2015,16,3,-
3980499,,Journal des Maladies Vasculaires,Elsevier: Masson,Metrics,2016,41,6,416-417
,25897799,Journal for ReAttach Therapy and Developmental Diversities ,ReAttach Therapy International Foundation,Publication Concerns,2023,6,8,459-469
,2149360X,Journal for the Education of Gifted Young Scientists,Journal for the Education of the Young Scientists and Giftedness,Publication Concerns,2020,8,4,1305-1371
10282327,16809378,Journal fur Hypertonie,Krause und Pachernegg,Metrics,2016,20,4,104-106
10240098,1680936x,Journal fur Kardiologie,Krause & Pachernegg GmbH,Metrics,2017,24,43416,310
0971071X,,Journal International Medical Sciences Academy,Mary Ann Liebert Inc.,Publication Concerns,2022,35,2,159-166
12038407,23711175,Journal of Advanced Oxidation Technologies,Sycamore Publications,Publication Concerns,2018,21,2,Article Nr: 201812998
,1943023X,Journal of Advanced Research in Dynamical and Control Systems,Institute of Advanced Scientific Research,Continuous curation,2020,12,7,837-842
,2068696X,Journal of Advanced Research in Law and Economics,ASERS Publishing,Publication Concerns,2020,11,1,256-266
,2537214,Journal of Advanced Zoology,Assoc. Advancement Zoology,Publication Concerns,2022,43,1,111-118
,19347235,Journal of Agricultural Food and Environmental Sciences,Scientific Journals International,Publication Concerns,2012,5,1,001-010
,24126381,Journal of Agriculture and Crops,Rahim Yar Khan Academic Research Publishing Group,Publication Concerns,2023,9,1,97-104
18125379,18125417,Journal of Agronomy,ANSI Asian Network for Scientific Information,Publication Concerns,2018,17,4,188-250
21556113,,Journal of AIDS and Clinical Research,OMICS Publishing Group,Publication Concerns,2014,5,8,-
901482,21624119,Journal of Alcohol and Drug Education,Amer Alcohol Drug Information Foundation,Metrics,2018,62,3,No page range
19277210,19277229,Journal of Analytical Oncology,Lifescience Global,Publication Concerns,2016,5,4,153-163
,21556148,Journal of Anesthesia and Clinical Research,OMICS Publishing Group,Publication Concerns,2014,5,7,-
16805593,1993601X,Journal of Animal and Veterinary Advances,Medwell Journals,Publication Concerns,2015,14,13,399-406
19485964,,Journal of Antivirals and Antiretrovirals,OMICS Publishing Group,Publication Concerns,2014,6,1,-
13071130,21460108,Journal of Applied Biological Sciences,Nobel Science And Research Center,Publication Concerns,2017,11,3,39-41
,23935162,Journal of Applied Economic Sciences,ASERS Publishing,Publication Concerns,2018,13,8,2502-2510
18125654,18125662,Journal of Applied Science,Asian Network for Scientific Information,Publication Concerns,2015,15,3,-
21559546,,Journal of Aquaculture Research and Development,OMICS Publishing Group,Publication Concerns,2014,5,5,-
1466623,,Journal of Aquatic Plant Management,Allen Press,Metrics,2017,55,July,123-125
19945450,20772173,Journal of Artificial Intelligence,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,2,85-90
22884637,22884645,"Journal of Asian Finance, Economics and Business ",Korea Distribution Science Association (KODISA),Publication concerns,2021,8,4,1076-1090
1948593X,,Journal of Bioanalysis and Biomedicine,OMICS Publishing Group,Publication Concerns,2014,6,1,-
15566560,15566579,Journal of Biobased Materials and Bioenergy,American Scientific Publishers,Radar,2017,11,5,527-531
9750851,,Journal of Bioequivalence and Bioavailability,OMICS Publishing Group,Publication Concerns,2014,6,4,-
17273048,18125719,Journal of Biological Sciences,ANSI Asian Network for Scientific Information,Publication Concerns,2018,18,8,514-519
24765376,23223308,Journal of Biology and Today's World,Lexis Publisher,Publication Concerns,2017,6,12,269-273
21579083,21579091,Journal of Biomaterials and Tissue Engineering,American Scientific Publishers,Radar,2017,7,12,1355-1359
17518202,20566271,Journal of Business and Retail Management Research,Academy Of Business And Retail Management Research,Radar,2018,12,4,246-250
19485956,,Journal of Cancer Science and Therapy,OMICS Publishing Group,Publication Concerns,2014,6,7,-
9753583,9762833,Journal of Cardiovascular Disease Research,EManuscript Technologies,Publication Concerns,2021,12,1,97-104
9757384,,Journal of Chemical and Pharmaceutical Research,JOCPR,Publication Concerns,2016,8,3,1014-1020
9742115,23498552,Journal of Chemical and Pharmaceutical Sciences,PR Publications,Publication Concerns,2016,9,4,3496-3503
13090720,13092014,Journal of Clinical and Analytical Medicine,Derman Medical Publishing,Radar,2017,8,6,541-544
2249782X,0973709X,Journal of Clinical and Diagnostic Research,JCDR Research and Publications Pvt Limited,Radar,2018,12,12,ZE19-ZE27
,21559880,Journal of Clinical and Experimental Cardiology,OMICS Publishing Group,Publication Concerns,2014,5,9,-
3638855,,Journal of Clinical Engineering,Wolters Kluwer,Metrics,2016,41,4,El - E5
7490208,15515036,Journal of Coastal Research ,"Coastal Education & Research Foundation, Inc.",Publication Concerns,2023,39,2,394-400
1796203X,,Journal of Computers,Academy publisher,Publication Concerns,2013,8,12,3298-3304
19911599,2312993X,Journal of Computers (Taiwan),Computer Society of the Republic of China,Radar,2018,29,6,1-273
,23945125,Journal of Critical Reviews,Innovare Academics Sciences Pvt. Ltd,Publication Concerns,2020,7,13,968-980
13518372,,Journal of Dementia Care,Hawker Publications Ltd.,Metrics,2017,25,6,33-34
9727272,,Journal of Digital Information Management,Digital Information Research Foundation,Radar,2017,15,6,354-371
15333604,15333590,Journal of Economics and Economic Education Research,Allied Academies,Publication Concerns,2016,17,Special Issue 3,186-199
9724397,9740805,Journal of Ecophysiology and Occupational Health,Academy of Environmental Biology,Metrics,2015,15,01-Feb,Jan-71
,15824594,Journal of Electrical Engineering,"Editura Politehnica, Universitatea Politehnica din Timisoara",Publication Concerns,2016,75,0,0
17980461,,Journal of Emerging Technologies in Web Intelligence,Academy publisher,Publication Concerns,2014,6,2,-
16089677,22201009,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",Medpharm Publications,Metrics,2018,23,3,86-90
1816949X,18187803,Journal of Engineering and Applied Sciences,Medwell Journals,Publication Concerns,2019,14,4,1374-1387
,22002014,Journal of English as an International Language,ELE Publishing,Publication Concerns,2020,15,2,119-144
18125670,18125689,Journal of Entomology,Academic Journals Inc.,Publication Concerns,2018,15,3,106-160
10988394,15282651,Journal of Entrepreneurship Education,Allied Academies,Publication Concerns,2019,22,2 (spec. issue),44075
,23091185,Journal of Environment Treatment Techniques,Dorma Journals,Publication Concerns,2020,8,4,1611-1617
16879805,16879813,Journal of Environmental and Public Health ,Hindawi Publishing Corporation,Publication Concerns,2022,2022,,Art. nr. 9974914
10583912,19967918,Journal of Environmental Hydrology,International Association for Environmental Hydrology,Publication Concerns,2017,25,,2
,20687729,Journal of Environmental Management and Tourism ,ASERS Publishing House,Publication Concerns,2023,14,4,2148-2153
,20772181,Journal of Environmental Science and Technology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,15,12,2713-2718
220930,16083202,Journal of Evolutionary Biochemistry and Physiology,Springer: Maik Nauka-Interperiodica Publishing,Metrics,2017,53,6,526-529
18164927,19960751,Journal of Fisheries and Aquatic Science,Academic Journals Inc.,Publication Concerns,2016,11,6,437-443
,14590263,"Journal of Food, Agriculture and Environment",WFL Publishers Ltd.,Publication Concerns,2017,15,43163,123-129
17365279,17364337,Journal of Generalized Lie Theory and Applications,OMICS Publishing Group,Publication Concerns,2013,7,1,-
17411343,17417090,Journal of Generic Medicines,Sage,Metrics,2017,13,4,219-221
,9758542,Journal of Global Pharma Technology,Journal of Global Pharma Technology,Publication concerns,2020,12,11,22-31
19044720,22454586,Journal of Green Engineering,Alpha Publishers,Publication Concerns,2021,11,2,2018-2028
9709274,24566608,Journal of Human Ecology,Kamla-Raj Enterprises,Continuous curation,2020,72,3,17168
,18578489,Journal of Hygienic Engineering and Design,Consulting and Training Center - KEY,Publication Concerns,2023,42,0,388-398
9702083,,Journal of Industrial Pollution Control,Research and Reviews,Publication Concerns,2017,33,2,1645- 1652
19387857,19387865,Journal of Information Technology Research,IGI Global,Radar,2020,13,4,156-170
2192659,17936713,Journal of Interconnection Networks,World Scientific,Radar,2023,23,4,Art No.-2350005
,21468397,Journal of Intercultural Ethnopharmacology,eJManager LLC,Publication Concerns,2017,6,4,429-452
19453019,19366264,Journal of Interdisciplinary and Multidisciplinary Research,Scientific Journals International,Publication Concerns,2016,3,3,54-58
10770755,,Journal of International Agricultural and Extension Education,Association For International Agricultural And Extension Education,Metrics,2016,23,1,72-85
15448037,23789174,Journal of International Business and Economics,International Academy of Business and Economics,Publication Concerns,2016,16,4,81-86
,12045357,Journal of Internet Banking and Commerce,Allied Academies,Publication Concerns,2016,21,Special Issue 6,19--2
222062,,Journal of Japanese Botany,Tsumura and Co.,Metrics,2017,92,3,170-175
